volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
V,86,ku-gould:13552,Red-chested Buttonquail. 86. plate,Red-chested Buttonquail,Hemipodius pyrrhothorax,Turnix pyrrhothorax,printed_english=Red-chested hemipode
V,87,ku-gould:13548,Little Buttonquail. 87. plate,Little Buttonquail,Hemipodius velox,Turnix velox,printed_english=Swift-flying hemipode
V,88,ku-gould:13544,Stubble Quail. 88. plate,Stubble Quail,Pectoral quail,Coturnix pectoralis,
V,89,ku-gould:13540,Brown Quail. 89. plate,Brown Quail,Synoicus australis,Coturnix ypsilophora australis,printed_english=Australian partridge
V,90,ku-gould:13536,Van diemen's land partridge. 90. plate,Van diemen's land partridge,,Synoicus diemenensis,
V,91,ku-gould:13532,Brown Quail. 91. plate,Brown Quail,Synoicus sordidus,Coturnix ypsilophora,printed_english=Sombre partridge
V,92,ku-gould:13528,"Blue-breasted Quail, King Quail. 92. plate","Blue-breasted Quail, King Quail",Synoicus chinensis,Coturnix chinensis,printed_english=Chinese quail
VI,1,ku-gould:13506,Emu. 1. plate,Emu,Dromaius novae-hollandiae,Dromaius novaehollandiae,printed_english=The emu
VI,2,ku-gould:13502,"Brown Kiwi, Haast Tokoeka, Southern Brown Kiwi, Southern Tokoeka. 2. plate","Brown Kiwi, Haast Tokoeka, Southern Brown Kiwi, Southern Tokoeka",,Apteryx australis,printed_alt_name=Kiwi-kiwi
VI,3,ku-gould:13498,Little Spotted Kiwi. 3. plate,Little Spotted Kiwi,,Apteryx owenii,printed_alt_name=Owen's apteryx
VI,4,ku-gould:13494,Australian Bustard. 4. plate,Australian Bustard,Otis australasianus,Ardeotis australis,
VI,5,ku-gould:13490,Bush Stone-curlew. 5. plate,Bush Stone-curlew,Oedicnemus grallarius,Burhinus grallarius,printed_english=Southern stone-ployer
VI,6,ku-gould:13486,Beach Stone-curlew. 6. plate,Beach Stone-curlew,,Esacus magnirostris,printed_alt_name=Large-billed ployer
VI,7,ku-gould:13482,Pied Oystercatcher. 7. plate,Pied Oystercatcher,,Haematopus longirostris,printed_alt_name=White-breasted oyster-catcher
VI,8,ku-gould:13478,Sooty Oystercatcher. 8. plate,Sooty Oystercatcher,Sooty oyster-catcher,Haematopus fuliginosus,
VI,9,ku-gould:13474,Wattled pewit. 9. plate,Wattled pewit,,Lobivanellus lobatus,
VI,10,ku-gould:13470,Masked Lapwing. 10. plate,Masked Lapwing,Lobivanellus personatus,Vanellus miles,printed_english=Masked pewit
VI,11,ku-gould:13466,Javan Lapwing. 11. plate,Javan Lapwing,Sarciophorus pectoralis,Vanellus macropterus,printed_english=Black-breasted pewit
VI,12,ku-gould:13462,"Black-bellied Plover, Grey Plover, Chorlo gris, Pluvier argenté. 12. plate","Black-bellied Plover, Grey Plover, Chorlo gris, Pluvier argenté",Squatarola helvetica,Pluvialis squatarola,printed_english=Grey plover
VI,13,ku-gould:13458,"American Golden Plover, Lesser Golden-Plover,  Chorlo dominico,  Pluvier bronzé, pluvier doré d'Amérique. 13. plate","American Golden Plover, Lesser Golden-Plover,  Chorlo dominico,  Pluvier bronzé, pluvier doré d'Amérique",Charadrius xanthocheilus,Pluvialis dominica,printed_english=Australian golden plover
VI,14,ku-gould:13454,Oriental Plover. 14. plate,Oriental Plover,Brown plover,Charadrius veredus,
VI,15,ku-gould:13450,Inland Dotterel. 15. plate,Inland Dotterel,Eudromias australis,Peltohyas australis,printed_english=Australian dottrel
VI,16,ku-gould:13446,Double-banded Plover. 16. plate,Double-banded Plover,Hiaticula bicincta,Charadrius bicinctus,printed_english=Double-banded dottrel
VI,17,ku-gould:13442,"Chorlo nevado, Kentish Plover, Snowy Plover. 17. plate","Chorlo nevado, Kentish Plover, Snowy Plover",Hiaticula ruficapilla,Charadrius alexandrinus,printed_english=Red-capped dottrel
VI,18,ku-gould:13438,Hooded Dotterel. 18. plate,Hooded Dotterel,Hiaticula monacha,Thinornis rubricollis,printed_english=Hooded dottrel
VI,19,ku-gould:13434,Allied dottrel. 19. plate,Allied dottrel,,Hiaticula inornata,
VI,20,ku-gould:13430,Black-fronted Dotterel. 20. plate,Black-fronted Dotterel,Hiaticula nigrifrons,Elseyornis melanops,printed_english=Black-fronted dottrel
VI,21,ku-gould:13426,Red-kneed Dotterel. 21. plate,Red-kneed Dotterel,Banded red knee,Erythrogonys cinctus,
VI,22,ku-gould:13422,Australian Pratincole. 22. plate,Australian Pratincole,Glareola grallaria,Stiltia isabella,
VI,23,ku-gould:13418,Oriental Pratincole. 23. plate,Oriental Pratincole,Glareola orientalis,Glareola maldivarum,
VI,24,ku-gould:13414,White-headed Stilt. 24. plate,White-headed Stilt,,Himantopus leucocephalus,
VI,25,ku-gould:13410,Black Stilt. 25. plate,Black Stilt,Himantopus novae-zelandiae,Himantopus novaezelandiae,printed_english=New zealand stilt
VI,26,ku-gould:13406,Banded Stilt. 26. plate,Banded Stilt,Chladorhynchus pectoralis,Cladorhynchus leucocephalus,
VI,27,ku-gould:13402,Red-necked Avocet. 27. plate,Red-necked Avocet,Recurvirostris rubricollis,Recurvirostra novaehollandiae,
VI,28,ku-gould:13398,"Black-tailed Godwit, Barge à queue noire. 28. plate","Black-tailed Godwit, Barge à queue noire",Limosa melanuroides,Limosa limosa melanuroides,printed_english=Black-tailed godwit
VI,29,ku-gould:13394,"Bar-tailed Godwit, Barge rousse, Picopando cola barrada. 29. plate","Bar-tailed Godwit, Barge rousse, Picopando cola barrada",Limosa uropygialis,Limosa lapponica,printed_english=Barred-rumped godwit
VI,30,ku-gould:13390,"Sharp-tailed Sandpiper, Bécasseau à queue pointue. 30. plate","Sharp-tailed Sandpiper, Bécasseau à queue pointue",Schoeniclus australis,Calidris acuminata,printed_english=Australian tringa
VI,31,ku-gould:13386,"Sanderling, Bécasseau sanderling, Playero blanco. 31. plate","Sanderling, Bécasseau sanderling, Playero blanco",Schoeniclus albescens,Calidris alba,printed_english=Little sandpiper
VI,32,ku-gould:13382,"Curlew Sandpiper, Bécasseau cocorli. 32. plate","Curlew Sandpiper, Bécasseau cocorli",Schoeniclus subarquatus,Calidris ferruginea,printed_english=Curlew sandpiper
VI,33,ku-gould:13378,"Great Knot, Bécasseau de l'Anadyr. 33. plate","Great Knot, Bécasseau de l'Anadyr",Schoeniclus magnus,Calidris tenuirostris,printed_english=Great sandpiper
VI,34,ku-gould:13374,"Chevalier bargette, Terek Sandpiper. 34. plate","Chevalier bargette, Terek Sandpiper",Terekia cinerea,Xenus cinereus,printed_english=Terek godwit
VI,35,ku-gould:13370,"Common Sandpiper, Chevalier guignette. 35. plate","Common Sandpiper, Chevalier guignette",Actitis empusa,Actitis hypoleucos,printed_english=Fairy sandpiper
VI,36,ku-gould:13366,"Chevalier aboyeur, Common Greenshank. 36. plate","Chevalier aboyeur, Common Greenshank",Glottis glottoides,Tringa nebularia,printed_english=Australian greenshank
VI,37,ku-gould:13362,"Chevalier stagnatile, Marsh Sandpiper. 37. plate","Chevalier stagnatile, Marsh Sandpiper",Totanus stagnatilis,Tringa stagnatilis,printed_english=Marsh sandpiper
VI,38,ku-gould:13358,"Chevalier arlequin, Spotted Redshank. 38. plate","Chevalier arlequin, Spotted Redshank",Totanus griseopygius,Tringa erythropus,printed_english=Grey-rumped sandpiper
VI,39,ku-gould:13354,"Ruddy Turnstone, Tournepierre à collier, Vuelvepiedras rojizo. 39. plate","Ruddy Turnstone, Tournepierre à collier, Vuelvepiedras rojizo",Strepsilas interpres,Arenaria interpres,printed_english=Turnstone
VI,40,ku-gould:13350,"Japanese Snipe, Latham's Snipe. 40. plate","Japanese Snipe, Latham's Snipe",Scolopax australis,Gallinago hardwickii,printed_english=New holland snipe
VI,41,ku-gould:13346,Greater Painted Snipe. 41. plate,Greater Painted Snipe,Rhynchaea australis,Rostratula benghalensis,printed_english=Australian rhynchaea
VI,42,ku-gould:13342,"Eastern Curlew, Far Eastern Curlew, Courlis de Sibérie. 42. plate","Eastern Curlew, Far Eastern Curlew, Courlis de Sibérie",Numenius australis,Numenius madagascariensis,printed_english=Australian curlew
VI,43,ku-gould:13338,"Courlis corlieu, Whimbrel, Zarapito trinador. 43. plate","Courlis corlieu, Whimbrel, Zarapito trinador",Numenius uropygialis,Numenius phaeopus,printed_english=Australian whimbrel
VI,44,ku-gould:13334,"Courlis nain, Little Curlew. 44. plate","Courlis nain, Little Curlew",Little whimbrel,Numenius minutus,
VI,45,ku-gould:13330,Straw-necked Ibis. 45. plate,Straw-necked Ibis,Geronticus spinicollis,Threskiornis spinicollis,
VI,46,ku-gould:13326,"African Sacred Ibis, Sacred Ibis. 46. plate","African Sacred Ibis, Sacred Ibis",Threskiornis strictipennis,Threskiornis aethiopicus,printed_english=White ibis
VI,47,ku-gould:13322,"Glossy Ibis, Ibis cara oscura, Ibis falcinelle. 47. plate","Glossy Ibis, Ibis cara oscura, Ibis falcinelle",Falcinellus igneus,Plegadis falcinellus,printed_english=Glossy ibis
VI,48,ku-gould:13318,Brolga. 48. plate,Brolga,Grus australasiannus,Grus rubicunda,printed_english=Australian crane
VI,49,ku-gould:13314,Yellow-billed Spoonbill. 49. plate,Yellow-billed Spoonbill,,Platalea flavipes,printed_alt_name=Yellow-legged spoonbill
VI,50,ku-gould:13310,Royal Spoonbill. 50. plate,Royal Spoonbill,,Platalea regia,
VI,51,ku-gould:13306,Black-necked Stork. 51. plate,Black-necked Stork,Mycteria australis,Ephippiorhynchus asiaticus,printed_english=Australian mycteria
VI,52,ku-gould:13302,White-necked Heron. 52. plate,White-necked Heron,Pacific heron,Ardea pacifica,
VI,53,ku-gould:13298,White-faced Heron. 53. plate,White-faced Heron,Ardea novae-hollandiae,Egretta novaehollandiae,printed_english=White-fronted heron
VI,54,ku-gould:13294,Great-billed Heron. 54. plate,Great-billed Heron,Ardea rectirostris,Ardea sumatrana,
VI,55,ku-gould:13290,"Gray Heron, Grey Heron, Héron cendré. 55. plate","Gray Heron, Grey Heron, Héron cendré",Ardea leucophaea,Ardea cinerea,printed_english=Great grey heron
VI,56,ku-gould:13286,"Great Egret, Grande Aigrette. 56. plate","Great Egret, Grande Aigrette",Herodias syrmatophorus,Ardea alba,printed_english=Australian egret
VI,57,ku-gould:13282,"Intermediate Egret, Plumed Egret. 57. plate","Intermediate Egret, Plumed Egret",Herodias plumiferus,Egretta intermedia plumifera,printed_english=Plumed egret
VI,58,ku-gould:13278,"Western Reef Heron, Aigrette à gorge blanche. 58. plate","Western Reef Heron, Aigrette à gorge blanche",Herodias immaculata,Egretta gularis,printed_english=Spotless egret
VI,59,ku-gould:13274,"Pacific Reef Heron, Pacific Reef-Heron. 59. plate","Pacific Reef Heron, Pacific Reef-Heron",Herodias pannosus,Egretta sacra,printed_english=Sombre egret
VI,60,ku-gould:13270,"Pacific Reef Heron, Pacific Reef-Heron. 60. plate","Pacific Reef Heron, Pacific Reef-Heron",Herodias jugularis,Egretta sacra,printed_english=Blue reef heron
VI,61,ku-gould:13266,White-faced Heron. 61. plate,White-faced Heron,Herodias greyi,Egretta novaehollandiae,printed_english=White reef heron
VI,62,ku-gould:13262,Pied Heron. 62. plate,Pied Heron,Herodias picata,Egretta picata,printed_english=Pied egret
VI,63,ku-gould:13258,"Nankeen Night Heron, Rufous Night Heron. 63. plate","Nankeen Night Heron, Rufous Night Heron",Nankeen night heron,Nycticorax caledonicus,
VI,64,ku-gould:13254,Australasian Bittern. 64. plate,Australasian Bittern,Botaurus australis,Botaurus poiciloptilus,printed_english=Australian bittern
VI,65,ku-gould:13250,Black Bittern. 65. plate,Black Bittern,Ardetta flavicollis,Dupetor flavicollis,printed_english=Yellow-necked bittern
VI,66,ku-gould:13246,"Green-backed Heron, Héron strié, Striated Heron. 66. plate","Green-backed Heron, Héron strié, Striated Heron",Ardetta macrorhyncha,Butorides striata,printed_english=Thick-billed green bittern
VI,67,ku-gould:13242,"Green-backed Heron, Héron strié, Striated Heron. 67. plate","Green-backed Heron, Héron strié, Striated Heron",Ardetta stagnatilis,Butorides striata,printed_english=Little grey bittern
VI,68,ku-gould:13238,"Little Bittern, Blongios nain. 68. plate","Little Bittern, Blongios nain",Ardetta pusilla,Ixobrychus minutus,printed_english=Minute bittern
VI,69,ku-gould:13234,Purple Swamphen. 69. plate,Purple Swamphen,Porphyrio melanotus,Porphyrio porphyrio melanotus,printed_english=Black-backed porphyrio
VI,70,ku-gould:13230,Purple Swamphen. 70. plate,Purple Swamphen,Porphyrio bellus,Porphyrio porphyrio,printed_english=Azure-breasted porphyrio
VI,71,ku-gould:13226,Tasmanian Nativehen. 71. plate,Tasmanian Nativehen,Tribonyx mortieri,Gallinula mortierii,printed_english=Mortier's tribonyx
VI,72,ku-gould:13222,Black-tailed Nativehen. 72. plate,Black-tailed Nativehen,Tribonyx ventralis,Gallinula ventralis,printed_english=Black-tailed tribonyx
VI,73,ku-gould:13218,Dusky Moorhen. 73. plate,Dusky Moorhen,Sombre gallinule,Gallinula tenebrosa,
VI,74,ku-gould:13214,Eurasian Coot. 74. plate,Eurasian Coot,Fulica australis,Fulica atra,printed_english=Australian coot
VI,75,ku-gould:13210,Comb-crested Jacana. 75. plate,Comb-crested Jacana,Parra gallinacea,Irediparra gallinacea,printed_english=Gallinaceous parra
VI,76,ku-gould:13206,Lewin's Rail. 76. plate,Lewin's Rail,Rallus pectoralis,Lewinia pectoralis,printed_english=Pectoral rail
VI,77,ku-gould:13202,Lewin's Rail. 77. plate,Lewin's Rail,Rallus lewinii,Lewinia pectoralis,printed_english=Lewin's water rail
VI,78,ku-gould:13198,Chestnut Rail. 78. plate,Chestnut Rail,,Eulabeornis castaneoventris,printed_alt_name=Chestnut-bellied rail
VI,79,ku-gould:13194,Australian Crake. 79. plate,Australian Crake,Spotted water crake,Porzana fluminea,
VI,80,ku-gould:13190,Baillon's Crake. 80. plate,Baillon's Crake,Porzana palustris,Porzana pusilla palustris,printed_english=Water crake
VI,81,ku-gould:13186,White-browed Crake. 81. plate,White-browed Crake,Porzana leucophrys,Porzana cinerea,printed_english=White-eyebrowed water crake
VI,82,ku-gould:13182,"Sooty Rail, Spotless Crake. 82. plate","Sooty Rail, Spotless Crake",Porzana immaculata,Porzana tabuensis,printed_english=Spotless gallinule
VII,1,ku-gould:13160,Cape Barren Goose. 1. plate,Cape Barren Goose,Cereopsis novae-hollandiae,Cereopsis novaehollandiae,printed_english=Cereopsis
VII,2,ku-gould:13156,"Magpie Goose, Magpie-Goose. 2. plate","Magpie Goose, Magpie-Goose",Anseranas melanoleuca,Anseranas semipalmata,printed_english=Semipalmated goose
VII,3,ku-gould:13152,Maned Duck. 3. plate,Maned Duck,Bernicla jubata,Chenonetta jubata,printed_english=Maned goose
VII,4,ku-gould:13148,Green Pygmy Goose. 4. plate,Green Pygmy Goose,Beautiful pygmy goose,Nettapus pulchellus,
VII,5,ku-gould:13144,Cotton Pygmy Goose. 5. plate,Cotton Pygmy Goose,Pygmy goose,Nettapus coromandelianus,
VII,6,ku-gould:13140,Black Swan. 6. plate,Black Swan,,Cygnus atratus,
VII,7,ku-gould:13136,Australian Shelduck. 7. plate,Australian Shelduck,Casarea tadornoides,Tadorna tadornoides,printed_english=Chestnut-coloured shieldrake
VII,8,ku-gould:13132,Raja Shelduck. 8. plate,Raja Shelduck,Radjah shieldrake,Tadorna radjah,
VII,9,ku-gould:13128,"Gray Duck, Pacific Black Duck. 9. plate","Gray Duck, Pacific Black Duck",Australian wild duck,Anas superciliosa,
VII,10,ku-gould:13124,Freckled Duck. 10. plate,Freckled Duck,Anas naevosa,Stictonetta naevosa,
VII,11,ku-gould:13120,Chestnut Teal. 11. plate,Chestnut Teal,Anas punctata,Anas castanea,printed_english=Chestnut-breasted duck
VII,12,ku-gould:13116,Australasian Shoveler. 12. plate,Australasian Shoveler,Spatula rhynchotis,Anas rhynchotis,printed_english=Australian shoveller
VII,13,ku-gould:13112,Pink-eared Duck. 13. plate,Pink-eared Duck,Membranaceous duck,Malacorhynchus membranaceus,
VII,14,ku-gould:13108,Wandering Whistling Duck. 14. plate,Wandering Whistling Duck,Whistling duck,Dendrocygna arcuata,
VII,15,ku-gould:13104,Plumed Whistling Duck. 15. plate,Plumed Whistling Duck,Leptotarsis eytoni,Dendrocygna eytoni,printed_english=Eyton's duck
VII,16,ku-gould:13100,Hardhead. 16. plate,Hardhead,Nyroca australis,Aythya australis,printed_english=White-eyed duck
VII,17,ku-gould:13096,Blue-billed Duck. 17. plate,Blue-billed Duck,Erismatura australis,Oxyura australis,
VII,18,ku-gould:13092,Musk Duck. 18. plate,Musk Duck,,Biziura lobata,
VII,19,ku-gould:13088,Pacific Gull. 19. plate,Pacific Gull,,Larus pacificus,
VII,20,ku-gould:13084,Silver Gull. 20. plate,Silver Gull,Xema jamesonii,Chroicocephalus novaehollandiae,printed_english=Jameson's gull
VII,21,ku-gould:13080,"Great Skua, Grand Labbe. 21. plate","Great Skua, Grand Labbe",Lestris catarractes,Stercorarius skua,printed_english=Skua gull
VII,22,ku-gould:13076,"Caspian Tern, Charrán caspia, Sterne caspienne. 22. plate","Caspian Tern, Charrán caspia, Sterne caspienne",Sylochelidou strenuus,Hydroprogne caspia,printed_english=Powerful tern
VII,23,ku-gould:13072,Lesser Crested Tern. 23. plate,Lesser Crested Tern,Thalasseus pelecanoides,Thalasseus bengalensis torresii,printed_english=Torres' straits' tern
VII,24,ku-gould:13068,Bass's straits' tern. 24. plate,Bass's straits' tern,,Thalasseus poliocereus,
VII,25,ku-gould:13064,Lesser Crested Tern. 25. plate,Lesser Crested Tern,Thalasseus torresii,Thalasseus bengalensis torresii,printed_english=Torres' tern
VII,26,ku-gould:13060,"Black-naped Tern, White-fronted Tern. 26. plate","Black-naped Tern, White-fronted Tern",Sterna melanorhyncha,Sterna striata,printed_english=Black-billed tern
VII,27,ku-gould:13056,"Roseate Tern, Charrán rosado, Sterne de Dougall. 27. plate","Roseate Tern, Charrán rosado, Sterne de Dougall",Sterna gracilis,Sterna dougallii gracilis,printed_english=Graceful tern
VII,28,ku-gould:13052,Black-naped Tern. 28. plate,Black-naped Tern,Sterna melanauchen,Sterna sumatrana,printed_english=Black-napped tern
VII,29,ku-gould:13048,Fairy Tern. 29. plate,Fairy Tern,Australian little tern,Sternula nereis,
VII,30,ku-gould:13044,"Angel Tern, Gygis blanche, White Tern. 30. plate","Angel Tern, Gygis blanche, White Tern",Gygis candida,Gygis alba,printed_english=White tern
VII,31,ku-gould:13040,Marsh tern. 31. plate,Marsh tern,,Hydrochelidon fluviatilis,
VII,32,ku-gould:13036,"Bridled Tern, Charrán embridado, Sterne bridée. 32. plate","Bridled Tern, Charrán embridado, Sterne bridée",Onychoprion fuliginosus,Onychoprion anaethetus,printed_english=Sooty tern
VII,33,ku-gould:13032,"Bridled Tern, Charrán embridado, Sterne bridée. 33. plate","Bridled Tern, Charrán embridado, Sterne bridée",Onychoprion panaya,Onychoprion anaethetus,printed_english=Panayan tern
VII,34,ku-gould:13028,"Brown Noddy, Charrán-bobo café, Noddi brun. 34. plate","Brown Noddy, Charrán-bobo café, Noddi brun",Noddy tern,Anous stolidus,
VII,35,ku-gould:13024,"Black Noddy, Charrán-bobo negro, Noddi noir. 35. plate","Black Noddy, Charrán-bobo negro, Noddi noir",Anous melanops,Anous minutus,printed_english=Lesser noddy
VII,36,ku-gould:13020,"Black Noddy, Charrán-bobo negro, Noddi noir. 36. plate","Black Noddy, Charrán-bobo negro, Noddi noir",Anous leucocapillus,Anous minutus,printed_english=White-capped tern
VII,37,ku-gould:13016,"Blue Noddy, Blue-gray Noddy, Noddi bleu. 37. plate","Blue Noddy, Blue-gray Noddy, Noddi bleu",Anous cinereus,Procelsterna cerulea,printed_english=Grey noddy
VII,38,ku-gould:13012,"Wandering Albatross, Albatros hurleur. 38. plate","Wandering Albatross, Albatros hurleur",Diomedea exulaus,Diomedea exulans,printed_english=Wandering albatros
VII,39,ku-gould:13008,"Short-tailed Albatross, Albatros à queue courte. 39. plate","Short-tailed Albatross, Albatros à queue courte",Diomedea brachyura,Phoebastria albatrus,printed_english=Short-tailed albatros
VII,40,ku-gould:13004,"Shy Albatross, Albatros à cape blanche. 40. plate","Shy Albatross, Albatros à cape blanche",Diomedea cauta,Thalassarche cauta,printed_english=Cautious albatros
VII,41,ku-gould:13000,Grey-headed Albatross. 41. plate,Grey-headed Albatross,Diomedea culminata,Thalassarche chrysostoma,printed_english=Culminated albatros
VII,42,ku-gould:12996,"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross. 42. plate","Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",Diomedea chlororhynchos,Thalassarche chlororhynchos,printed_english=Yellow-billed albatros
VII,43,ku-gould:12992,Black-browed Albatross. 43. plate,Black-browed Albatross,Diomedea melanophrys,Thalassarche melanophris,printed_english=Black-eyebrowed albatros
VII,44,ku-gould:12988,Sooty Albatross. 44. plate,Sooty Albatross,Diomedea fulginosa,Phoebetria fusca,printed_english=Sooty albatros
VII,45,ku-gould:12984,Southern Giant Petrel. 45. plate,Southern Giant Petrel,Procellaria gigantea,Macronectes giganteus,printed_english=Giant petrel
VII,46,ku-gould:12980,Spectacled Petrel. 46. plate,Spectacled Petrel,,Procellaria conspicillata,
VII,47,ku-gould:12976,"Black-capped Petrel, Pétrel diablotin. 47. plate","Black-capped Petrel, Pétrel diablotin",Procellaria hasitata,Pterodroma hasitata,printed_english=Great grey petrel
VII,48,ku-gould:12972,"Northern Fulmar, Fulmar boréal, Fulmar norteño. 48. plate","Northern Fulmar, Fulmar boréal, Fulmar norteño",Procellaria glacialoides,Fulmarus glacialis,printed_english=Silvery grey petrel
VII,49,ku-gould:12968,White-headed Petrel. 49. plate,White-headed Petrel,Procellaria lessonii,Pterodroma lessonii,
VII,50,ku-gould:12964,Soft-plumaged Petrel. 50. plate,Soft-plumaged Petrel,Procellaria mollis,Pterodroma mollis,
VII,51,ku-gould:12960,"Cook's Petrel, Petrel de Cook, Pétrel de Cook. 51. plate","Cook's Petrel, Petrel de Cook, Pétrel de Cook",Procellaria cookii,Pterodroma cookii,printed_english=Cook's petrel
VII,52,ku-gould:12956,Blue Petrel. 52. plate,Blue Petrel,Procellaria coerulea,Halobaena caerulea,
VII,53,ku-gould:12952,Cape Petrel. 53. plate,Cape Petrel,Daption capensis,Daption capense,
VII,54,ku-gould:12948,Fairy Prion. 54. plate,Fairy Prion,Prion turtur,Pachyptila turtur,printed_english=Dove-like prion
VII,55,ku-gould:12944,Broad-billed Prion. 55. plate,Broad-billed Prion,Prion vittatus,Pachyptila vittata,
VII,56,ku-gould:12940,"Short-tailed Shearwater, Pardela cola corta, Puffin à bec grêle. 56. plate","Short-tailed Shearwater, Pardela cola corta, Puffin à bec grêle",Puffinus brevicaudus,Puffinus tenuirostris,printed_english=Short-tailed petrel
VII,57,ku-gould:12936,"Flesh-footed Shearwater, Pardela pata pálida, Puffin à pieds pâles. 57. plate","Flesh-footed Shearwater, Pardela pata pálida, Puffin à pieds pâles",,Puffinus carneipes,printed_alt_name=Fleshy-footed petrel
VII,58,ku-gould:12932,"Wedge-tailed Shearwater, Pardela cola cuña, Puffin fouquet. 58. plate","Wedge-tailed Shearwater, Pardela cola cuña, Puffin fouquet",Puffinus sphenurus,Puffinus pacificus,printed_english=Wedge-tailed petrel
VII,59,ku-gould:12928,"Little Shearwater, Petit Puffin. 59. plate","Little Shearwater, Petit Puffin",Allied petrel,Puffinus assimilis,
VII,60,ku-gould:12924,Common Diving Petrel. 60. plate,Common Diving Petrel,Puffinuria urinatrix,Pelecanoides urinatrix,printed_english=Diving petrel
VII,61,ku-gould:12920,"White-faced Storm Petrel, Océanite frégate. 61. plate","White-faced Storm Petrel, Océanite frégate",Thalassidroma marina,Pelagodroma marina,printed_english=White-faced storm petrel
VII,62,ku-gould:12916,"Black-bellied Storm Petrel, Black-bellied Storm-Petrel, Océanite à ventre noir. 62. plate","Black-bellied Storm Petrel, Black-bellied Storm-Petrel, Océanite à ventre noir",Thalassidroma melanogaster,Fregetta tropica,printed_english=Black-bellied storm petrel
VII,63,ku-gould:12912,White-bellied Storm Petrel. 63. plate,White-bellied Storm Petrel,Thalassidroma leucogaster,Fregetta grallaria leucogaster,
VII,64,ku-gould:12908,Grey-backed Storm Petrel. 64. plate,Grey-backed Storm Petrel,Thalassidroma nereis,Garrodia nereis,
VII,65,ku-gould:12904,"Wilson's Storm Petrel, Océanite de Wilson, Paíño de Wilson, Wilson's Storm-Petrel. 65. plate","Wilson's Storm Petrel, Océanite de Wilson, Paíño de Wilson, Wilson's Storm-Petrel",Thalassidroma wilsonii,Oceanites oceanicus,printed_english=Wilson's storm petrel
VII,66,ku-gould:12900,"Grand Cormoran, Great Cormorant. 66. plate","Grand Cormoran, Great Cormorant",Phalacrocorax carboides,Phalacrocorax carbo,printed_english=Australian cormorant
VII,67,ku-gould:12896,Little Black Cormorant. 67. plate,Little Black Cormorant,,Phalacrocorax sulcirostris,printed_alt_name=Groove-billed cormorant
VII,68,ku-gould:12892,White-breasted Cormorant. 68. plate,White-breasted Cormorant,Phalacrocorax hypoleucus,Phalacrocorax lucidus,printed_english=Pied cormorant
VII,69,ku-gould:12888,Black-faced Cormorant. 69. plate,Black-faced Cormorant,Phalacrocorax leucogaster,Phalacrocorax fuscescens,printed_english=White-breasted cormorant
VII,70,ku-gould:12884,Little Pied Cormorant. 70. plate,Little Pied Cormorant,Phalacrocorax melanoleucus,Microcarbo melanoleucos,printed_english=Pied cormorant
VII,71,ku-gould:12880,Spotted Shag. 71. plate,Spotted Shag,Spotted cormorant,Phalacrocorax punctatus,
VII,72,ku-gould:12876,"Lesser Frigatebird,  Frégate ariel. 72. plate","Lesser Frigatebird,  Frégate ariel",Attagen ariel,Fregata ariel,printed_english=Small frigate bird
VII,73,ku-gould:12872,Red-tailed Tropicbird. 73. plate,Red-tailed Tropicbird,Phaeton phoenicurus,Phaethon rubricauda,printed_english=Red-tailed tropic bird
VII,74,ku-gould:12868,Australian Pelican. 74. plate,Australian Pelican,,Pelecanus conspicillatus,
VII,75,ku-gould:12864,"Darter, Oriental Darter. 75. plate","Darter, Oriental Darter",Plotus novae-hollandiae,Anhinga melanogaster,printed_english=New holland darter
VII,76,ku-gould:12860,Australasian Gannet. 76. plate,Australasian Gannet,Sula australis,Morus serrator,printed_english=Australian gannet
VII,77,ku-gould:12856,"Masked Booby, Bobo enmascarado, Fou masqué. 77. plate","Masked Booby, Bobo enmascarado, Fou masqué",Sula personata,Sula dactylatra personata,printed_english=Masked gannet
VII,78,ku-gould:12852,"Brown Booby, Bobo café, Fou brun. 78. plate","Brown Booby, Bobo café, Fou brun",Sula fusca,Sula leucogaster,printed_english=Brown gannet
VII,79,ku-gould:12848,"Red-footed Booby, Bobo pata roja, Fou à pieds rouges. 79. plate","Red-footed Booby, Bobo pata roja, Fou à pieds rouges",Sula piscator,Sula sula,printed_english=Red-legged gannet
VII,80,ku-gould:12844,Great Crested Grebe. 80. plate,Great Crested Grebe,Podiceps australis,Podiceps cristatus,printed_english=Australian tippet grebe
VII,81,ku-gould:12840,Australasian Grebe. 81. plate,Australasian Grebe,Podiceps gularis,Tachybaptus novaehollandiae,printed_english=Black-throated grebe
VII,82,ku-gould:12836,Hoary-headed Grebe. 82. plate,Hoary-headed Grebe,Podiceps poliocephalus,Poliocephalus poliocephalus,
VII,83,ku-gould:12832,"Rockhopper Penguin, Southern Rockhopper Penguin. 83. plate","Rockhopper Penguin, Southern Rockhopper Penguin",Crested penguin,Eudyptes chrysocome,
VII,84,ku-gould:12828,"Fairy Penguin, Little Penguin. 84. plate","Fairy Penguin, Little Penguin",Spheniscus minor,Eudyptula minor,printed_english=Little penguin
