volume,plate,ku_id,ku_title,ku_english,ku_printed_latin,ku_sci,note
IV,63,ku-gould:14078,Scarlet Myzomela. 63. plate,Scarlet Myzomela,Myzomela sanguineolenta,Myzomela sanguinolenta,printed_english=Sanguineous honey-eater
IV,64,ku-gould:14074,Red-headed Myzomela. 64. plate,Red-headed Myzomela,,Myzomela erythrocephala,printed_alt_name=Red-headed honey-eater
IV,65,ku-gould:14070,Banded Honeyeater. 65. plate,Banded Honeyeater,Myzomela pectoralis,Certhionyx pectoralis,printed_english=Banded honey-eater
IV,66,ku-gould:14066,Black Myzomela. 66. plate,Black Myzomela,Myzomela nigra,Myzomela nigrita,printed_english=Black honey-eater
IV,67,ku-gould:14062,Dusky Myzomela. 67. plate,Dusky Myzomela,Obscure honey-eater,Myzomela obscura,
IV,68,ku-gould:14058,Blue-faced Honeyeater. 68. plate,Blue-faced Honeyeater,Entomyza cyanotis,Entomyzon cyanotis albipennis,printed_english=Blue-faced entomyza
IV,69,ku-gould:14054,Blue-faced Honeyeater. 69. plate,Blue-faced Honeyeater,Entomyza albipennis,Entomyzon cyanotis albipennis,printed_english=White-pinioned honey-eater
IV,70,ku-gould:14050,Strong-billed Honeyeater. 70. plate,Strong-billed Honeyeater,,Melithreptus validirostris,printed_alt_name=Strong-billed honey-eater
IV,71,ku-gould:14046,Black-chinned Honeyeater. 71. plate,Black-chinned Honeyeater,,Melithreptus gularis,printed_alt_name=Black-throated honey-eater
IV,72,ku-gould:14042,White-naped Honeyeater. 72. plate,White-naped Honeyeater,Melithreptus lunulatus,Melithreptus lunatus,printed_english=Lunulated honey-eater
IV,73,ku-gould:14038,White-naped Honeyeater. 73. plate,White-naped Honeyeater,Melithreptus chloropsis,Melithreptus lunatus chloropsis,printed_english=Swan river honey-eater
IV,74,ku-gould:14034,White-throated Honeyeater. 74. plate,White-throated Honeyeater,,Melithreptus albogularis,printed_alt_name=White-throated honey-eater
