volume,plate,ia_id,leaf,caption_ocr,caption_latin,agrees,orientation,caption_top,fold_out,note
I,31,birdsAustraliav1Goul,260,"STRIX DELICATULIS: Gould J, Gould and HC Richter dd ott, : : : Halluandel & Walton Lp.",Strix delicatulus,yes,portrait,0.928,,Vision OCR: STRIX DELICATULIS: Gould.
I,32,birdsAustraliav1Goul,264,Telia) Olio Lie J Gould and FC Pachter dd & tith.,Athene Boobook,yes,portrait,0.917,,"Vision OCR: ATHENE BOOBOOK,"
I,33,birdsAustraliav1Goul,268,Hullnande & Walter Lag téauli and HCHuchter db 0th,Athene maculata,yes,portrait,0.926,,Vision OCR: ATHENE MACEMATA :
I,34,birdsAustraliav1Goul,272,"Offullunarid begs. MA, et lithe, S =",Athene connivens,yes,portrait,0.970,,Vision OCR: ATHENE CONNIVENS.
I,35,birdsAustraliav1Goul,276,S SS A LC firchter Lani SL FOAL ILE,Athene strenua,yes,portrait,0.916,,Vision OCR: ATHENE? STRENUA: Gold.
I,36,birdsAustraliav1Goul,280,TGould ond HC Richter dl elit. Hullmondel & Walter Hey,Athene rufa,yes,portrait,0.931,,Vision OCR: ATHED& RUFA: Could.
II,1,birdsAustraliav2Goul,12,SEL Scutd dei C Fiablinanda Lp.,Aegotheles Novae-Hollandiae,yes,portrait,0.925,,Vision OCR: ÆGOTHELES NOVE HOLLANDIÆ: Vig et Horst
II,2,birdsAustraliav2Goul,16,"BETES hitchter del cb With, iallmmanded, Jap. =",Aegotheles leucogaster,yes,portrait,0.900,,Vision OCR: AEOTHRLES LEUCOGASTER: Cold.
II,3,birdsAustraliav2Goul,20,"PODARGU S HUMBRALIS: My & Horsf oe : ; . ME Deed, aps",Podargus humeralis,yes,portrait,0.955,,Vision OCR: PODARGUS HUMERALIS: Vig &Horsf:
II,4,birdsAustraliav2Goul,24,Richtee dwt a [ff ie TAs Ah cond: Hg brpegt * Waltou tiny,Podargus Cuvieri,yes,portrait,0.946,,Vision OCR: PODARCUS CUVIERL Vigand ler/
II,5,birdsAustraliav2Goul,28,YE Ss Gould: SCOUd and HC Richt det wt hitiv. C. Shdthncadel Lip.,Podargus Phalaenoides,yes,portrait,0.936,,Vision OCR: PODAREUS PHALFNOIDES:Gould.
II,6,birdsAustraliav2Goul,32,"PODARGUS PLUMIFEIRUS : Gould, J Gold and HC. Richter dd ct bith. : Hillmauandd & Walton Ly.",Podargus plumiferus,yes,portrait,0.958,,Vision OCR: PODARGUS PLUMIFERUS:Gould.
II,7,birdsAustraliav2Goul,36,"KUROS TOPODU: AAIRTS, Dbculd and ACR chiar ad! CPriznanded ap.",Eurostopodus albogularis,yes,portrait,0.906,,"Vision OCR: EUROSTOPODUS ALBOGULARIS,"
II,8,birdsAustraliav2Goul,40,"ATUS. ST Gonld and 40, Fichioer dae C Hatlmandel Trg.",Eurostopodus guttatus,yes,portrait,0.875,,Vision OCR: EUROSTOPODUS GUTTATUS.
II,9,birdsAustraliav2Goul,44,"jo if ULG | LU RUS: Hor. A God und FL. firchivi deh B lithe, OEM EU Sig}.",Caprimulgus macrurus,yes,portrait,0.897,,Vision OCR: CAPRIMULCUS MACRURUS: HoEsf:
II,10,birdsAustraliav2Goul,48,,Acanthylis caudacuta,yes,portrait,0.962,,read from image; caption_top measured by eye against a ruler on the image
II,11,birdsAustraliav2Goul,52,Oi apa LL. Lae +r e WaT awa Ih C Lillimandel Syy.,Cypselus Australis,yes,portrait,0.917,,Vision OCR: CYPSELTS AUSTRALIS: Could
II,12,birdsAustraliav2Goul,56,"ATT TTC OTRAL Ss SON: Coad, SJ Conld and LA Bich ter dal” CLallynte € Lary",Atticora leucosternon,yes,portrait,0.837,,Vision OCR: ATTIORA LEUUOSTERNON: GuA
II,13,birdsAustraliav2Goul,60,HIRUNDO NEOXENA Could. ° ° SL Gold undsChiahied Liege) Tip. z,Hirundo neoxena,yes,portrait,0.929,,Vision OCR: HIRUNDO NEOXENA: Gould.
II,14,birdsAustraliav2Goul,64,"LNG f). Z Liuttmande). Go. Suet reeran, Bienen ithitwn Ail, & Wand LF",Collocalia arborea,yes,portrait,0.913,,Vision OCR: CHELIDOY ABBOREA: Gould
II,15,birdsAustraliav2Goul,68,(RUB EdD DN Aa Ne Gere (7. Wane hit eta CE PPES Us : CMritit ih agin Ll Liaditer tele x Pg ae Segey aie bs,Collocalia Ariel,yes,portrait,0.916,,Vision OCR: CHELIDON ARIEL: Gould
II,16,birdsAustraliav2Goul,72,"- WUE IR O PS Dl RNA US: Za oy C Hath AL Livi g7,",Merops ornatus,yes,portrait,0.887,,Vision OCR: MEROPS ORNATUS:Lath:
II,17,birdsAustraliav2Goul,76,EURYSTOMUS AUSTRALIS: Swas SF COUN 4 uid LOC haichtery ad ob hth. : C. Hallmandead Ly,Eurystomus Australis,yes,portrait,0.921,,Vision OCR: EURYSTOMUS AUSTRALIS: Swains
II,18,birdsAustraliav2Goul,80,"LA 3 Leach. “AVY GALE all i ELO AC C Hallinandel bp, J Gould and LC Richter Ad cbhih.",Dacelo gigantea,yes,portrait,0.948,,Vision OCR: DATELD GIGANTEA: Leack.
II,19,birdsAustraliav2Goul,84,"DACKLO LIKACHIO: Vg: & Aors/; | ; JS Gould and HC. Richter dh tity, ; Fillnanded & Walton Lig.",Dacelo Leachii,yes,portrait,0.904,,Vision OCR: DACELO LEACHH: Vịg: & Hors:
II,20,birdsAustraliav2Goul,88,"CO Heallinand el lip,",Dacelo cervina,yes,portrait,0.941,,Vision OCR: DACELO CERVINA: Gould.
II,21,birdsAustraliav2Goul,92,"HALCYON SANCTUS: hg. £0 ""af SEL Could ded; ne CLiligandd Lng",Halcyon sanctus,yes,portrait,0.959,,Vision OCR: HALCYON SANCTUS: Vig: & Horef
II,22,birdsAustraliav2Goul,96,"HALCYON PYRRHOPYGIA: Gould. SLE Coudd del,’",Halcyon pyrrhopygia,yes,portrait,0.879,,Vision OCR: HALCYON PYRRHOPYGIA: Gould
II,23,birdsAustraliav2Goul,100,"f E ; i f Hidlmeandd & Walt. htey ded vt Lith, S boutd and HC:Ric",Halcyon sordidus,yes,portrait,0.950,,Vision OCR: HALCYON SORDDDUS: Goula
II,24,birdsAustraliav2Goul,104,Oo Halimemda Fog,Halcyon MacLeayii,yes,portrait,0.948,,Vision OCR: HALCYON MACLEAYU: Jard & Seb
II,25,birdsAustraliav2Goul,108,"Tt Fillmandd. & Watton £ A ek Uith, x) ne",Alcyone azurea,yes,portrait,0.874,,Vision OCR: ALCYONE AZUREA.
