volume,plate,ia_id,leaf,orientation,list_latin,caption_latin,caption_read,caption_top,text_leaf_heading,agrees,note
II,75,BirdsAsiaJohnGoIIGoul,308,portrait,Psaropholus ardens,"PSAROPHOLUS ARDENS, Swinh.",ocr,0.92,"PSAROPHOLUS ARDENS, Red ii uiias ardens, Swinh. in Ibis, 1862, p. 363, pl. xiii.",yes,
III,1,BirdsAsiaJohnGoIIIGoul,12,portrait,Turdus fuscatus,"TURDUS FUSCATUS, Pall.",ocr,0.91,"TURDUS FUSCATUS, Clouded Turdus fuscatus, Pall. Zoog., tom. i. p. 451. pl. dubiu",yes,
III,2,BirdsAsiaJohnGoIIIGoul,16,portrait,Turdus ruficollis,"TURDUS RUFICOLLIS, Pall.",ocr,0.902,"TURDUS RUFICOLLIS, Red-throated Turdus ruficollis, Pall. Reise, tom. iii. p. 694",yes,
III,3,BirdsAsiaJohnGoIIIGoul,20,portrait,Turdus Gouldi,"TURDUS GOULDI, J.Verr.",ocr,0.917,"Gould’s Merula Gouldu, J. Verr. Nouv. Archiv. du Mus., tom. vi., Bull. p. 34, & ",yes,
III,4,BirdsAsiaJohnGoIIIGoul,24,portrait,Merula unicolor,"MERULA UNICOLOR, Gould.",ocr,0.9,"MERULA UNICOLOR, Affghan Turdus unicolor, Gould in Proc. of Zool. Soc., Part V. ",yes,
III,5,BirdsAsiaJohnGoIIIGoul,28,portrait,Merula castanea,"MERULA CASTANEA, Gould",ocr,0.917,"MERULA CASTANEA, Chestnut-coloured Merula castanea, Gould in Proc. of Zool. Soc.",yes,
III,6,BirdsAsiaJohnGoIIIGoul,32,portrait,Merula albocincta,MERULA ALBOCINCTA.,ocr,0.903,"MERULA White-collared Turdus albocinctus et albicollis, Royle, Ill. Himalayan Bo",yes,
III,7,BirdsAsiaJohnGoIIIGoul,36,portrait,Merula Boulboul,MERULA BOULBOUL.,ocr,0.923,"SS MERULA Grey-winged Lanius boulboul, Lath. Ind. Orn. Supp., p. 80.—Ib. Gen. Hi",yes,
III,8,BirdsAsiaJohnGoIIIGoul,40,portrait,Petrocincla erythrogastra,PETROCINCLA ERYTHROGASTRA.,ocr,0.917,"PETROCINCLA Chestnut-bellied Turdus erythrogaster, Vig. in Proc. of Comm. of Sci",yes,
III,9,BirdsAsiaJohnGoIIIGoul,44,portrait,Spizixos canifrons,"SPIZIXOS CANIFRONS, Blyth.",ocr,0.91,"SPIZIXOS CANIFRONS, Crested Spizixos canifrons, Blyth, Journ. Asiat. Soc. Beng.,",yes,
III,10,BirdsAsiaJohnGoIIIGoul,48,portrait,Spizixos semitorques,"SPIZIXOS SEMITORQUES, Swinh.",ocr,0.912,"SPIZIXOS SEMITORQUES, Chinese Spizivos semitorques, Swinh. in Ibis, 1861, p. 266",yes,
III,11,BirdsAsiaJohnGoIIIGoul,52,portrait,Ixus sinensis,IZUS SINENSIS .,ocr,0.914,"IXUS Chinese Le Gobe-mouche verddtre de la Chine, Sonn. Voy. Ind. Orient., ii. p",yes,
III,12,BirdsAsiaJohnGoIIIGoul,56,portrait,Hypsipetes nigerrima,"HYPSIPETES NIGERRIMA, Gould.",ocr,0.919,"HYPSIPETES NIGERRIMA, Formosan Hypsipetes nigerrima, Gould in Proc. of Zool. Soc",yes,
III,13,BirdsAsiaJohnGoIIIGoul,60,portrait,Phyllornis Javensis,PHYLLORNIS JAVENSIS.,ocr,0.926,"PHYLLORNIS Javanese Meliphaga Javensis, Horsf. Trans. Linn. Soc., vol. xiii. p. ",yes,
III,14,BirdsAsiaJohnGoIIIGoul,64,portrait,Phyllornis Hardwicki,PHYLLORNIS HARDWICKI.,ocr,0.923,"PHYLLORNIS Hardwick’s Chloropsis Hardwickii, Jard. and Selby, Ill. Orn., vol. ii",yes,
III,15,BirdsAsiaJohnGoIIIGoul,68,portrait,Phyllornis Hodgsoni,PHYLLORNIS HODGSONI.,ocr,0.906,"PHYLLORNIS Hodgsson’s Hurruwa Bee-eater, Lath. Gen. Hist., vol. iv. p. 125. pl. ",yes,
III,16,BirdsAsiaJohnGoIIIGoul,72,portrait,Phyllornis Malabaricus,PHYLLORNIS MALABARICUS.,ocr,0.902,"PHYLLORNIS Malabar Turdus Malabaricus, Gmel. edit. of Linn. Syst. Nat., vol. i. ",yes,
III,17,BirdsAsiaJohnGoIIIGoul,76,portrait,Phyllornis Jerdoni,PHYLLORNIS JERDONI®,ocr,0.911,"PHYLLORNIS Jerdon’s Phyllornis Jerdoni, Blyth, Journ. Asiat. Soc. Beng., vol. xi",yes,
III,18,BirdsAsiaJohnGoIIIGoul,80,portrait,Phyllornis cyanopogon,"PHYLLORNIS CYANOPOGON, Temm.",ocr,0.918,"PHYLLORNIS CYANOPOGON, All Green Phyllornis cyanopogon, Temm. PI. Col. 512. fig.",yes,
III,19,BirdsAsiaJohnGoIIIGoul,84,portrait,Irena cyanea,IRENA CYANEA.,ocr,0.929,"IRENA Malayan Fairy Muscicapa cyanea, Begbie, Malayan Peninsula, p. 517 Irena pu",yes,
III,20,BirdsAsiaJohnGoIIIGoul,88,portrait,Irena criniger,IRENA CRINIGER.,ocr,0.929,"IRENA CRINIGER, Bornean Fairy Coracias puella, Raffles, Trans. Linn. Soc. xiii. ",yes,
III,21,BirdsAsiaJohnGoIIIGoul,92,portrait,Irena puella,IRENA PUELLA.,ocr,0.925,"IRENA Indian Fairy Fairy Roller, Latham, Gen. Synopsis, Suppl. p. Coracias puell",yes,
III,22,BirdsAsiaJohnGoIIIGoul,96,portrait,Irena cyanogastra,"IRENA CYANOGASTRA, Vigors.",ocr,0.928,"IRENA CYANOGASTRA, Blue-mantled Fairy Irena cyanogastra, Vigors, Proc. Zool. Soc",yes,
III,23,BirdsAsiaJohnGoIIIGoul,100,portrait,Irena melanochlamys,"IRENA MELANOCHLAMYS, Sharpe.",ocr,0.913,"IRENA MELANOCHLAMYS, Black-mantled Fairy",yes,
III,24,BirdsAsiaJohnGoIIIGoul,104,portrait,Copsychus saularis,COPSYCHUS SAULARIS.,ocr,0.903,"COPSYCHUS Dial Gracula saularis, Linn. Syst. Nat., tom. i. p. 165.—Ib. Gmel. edi",yes,
III,25,BirdsAsiaJohnGoIIIGoul,108,portrait,Copsychus Mindanensis,COPSYCHUS MINDANENSIS.,ocr,0.917,"COPSYCHUS Malacea Dial Merle de Mindanao, Buff. Hist. Nat. des Ois., tom. iii. p",yes,
III,26,BirdsAsiaJohnGoIIIGoul,112,portrait,Copsychus suavis,"COPSYCHUS SUAVIS, Sclat.",ocr,0.913,"COPSYCHUS SUAVIS, Chestnut-bellied Dial",yes,
III,27,BirdsAsiaJohnGoIIIGoul,116,portrait,Myiophoneus Blighi,"MYTOPHONUS, Arrenga). BLIGHI, Holdsworth.",ocr,0.9,"MYIOPHONUS (AaRRENGA) BLIGHI, Bligh’s Whistling Arrenga Blight, Holdsworth, Proc",yes,
III,28,BirdsAsiaJohnGoIIIGoul,120,portrait,Myiophoneus insularis,"MYIOPHONEUS INSULARIS, Gould",ocr,0.914,"MYIOPHONEUS INSULARIS, Formosan Mytophoneus insularis, Gould in Proc. of Zool. S",yes,
III,29,BirdsAsiaJohnGoIIIGoul,124,portrait,Callene albiventris,"CALLENE ALBIVENTRIS , Fairb.",ocr,0.919,"CALLENE ALBIVENTRIS, White-bellied Callene albiventris, Fairb., Blanf. in Proc. ",yes,
III,30,BirdsAsiaJohnGoIIIGoul,128,portrait,Leioptila annectens,"LIOPTILA ANNECTANS, Blyth.",ocr,0.909,"LIOPTILA ANNECTENS, Slender-billed Leioptila annectans, Blyth, Journ. As. Soc. B",yes,
III,31,BirdsAsiaJohnGoIIIGoul,132,portrait,Conostoma emodium,"COVOSTOMA ÆEMODTUM, Hoags",ocr,0.899,"CONOSTOMA AMODIUM, Himalayan Conostoma emodius, Hodgs. Journ. Asiat. Soc. Bengal",yes,
III,32,BirdsAsiaJohnGoIIIGoul,136,portrait,Sibia melanoleuca,"SIBIA MELANOLEUCA, Tickell.",ocr,0.901,"SIBIA MELANOLEUCA, Black-and-White Sibia melanoleuca, Tickell, MSS., Sibia melan",yes,
III,33,BirdsAsiaJohnGoIIIGoul,140,portrait,Pomatorhinus erythrocnemis,"POMATORHINUS ERYTHROCNEMIS, Gould.",ocr,0.921,"POMATORHINUS ERYTHROCNEMIS, Red-kneed Pomatorhinus erythrocnemis, Gould in Proc.",yes,
III,34,BirdsAsiaJohnGoIIIGoul,144,portrait,Xiphoramphus superciliaris,"XIPHORHAMPHUS SUPERCILIARIS, Blyth.",ocr,0.906,"XIPHORHAMPHUS SUPERCILIARIS,",yes,
III,35,BirdsAsiaJohnGoIIIGoul,148,portrait,Trochalopteron phoeniceum,TROCHALOPTERON PHŒMICEUM.,ocr,0.916,"TROCHALOPTERON Crimson-winged Ianthocinela pheenicea, Gould, Icon. Av., part i. ",yes,
III,36,BirdsAsiaJohnGoIIIGoul,152,portrait,Trochalopteron formosum,"TROCHALOPTERON FORMOSUM, J.Verr.",ocr,0.913,TROCHALOPTERON FORMOSUM.. J.,yes,
III,37,BirdsAsiaJohnGoIIIGoul,156,portrait,Trochalopteron affine,"TROCHALOPTERON AFFINE, Hodgs.",ocr,0.907,"TROCHALOPTERON Allied Garrulax afinis, Hodgson, J. A.S. B. xii. p. 950.—Blyth, J",yes,
III,38,BirdsAsiaJohnGoIIIGoul,160,portrait,Trochalopteron variegatum,TROCHALOPTERON VARIEGATUM.,ocr,0.907,"TROCHALOPTERON Variegated Cinclosoma variegatum, Vigors, P. Z.S., 1831, p. 56.—G",yes,
III,39,BirdsAsiaJohnGoIIIGoul,164,portrait,Trochalopteron cineraceum,"TROCHALOPTERON CINERACEUM, Godwin-dusten.",ocr,0.913,"TPROCHALOPTERON CINERACEUM, Cinereous Trochalopteron.",yes,
III,40,BirdsAsiaJohnGoIIIGoul,168,portrait,Trochalopteron virgatum,"TROCHALOPTERON VIRGATUM, GodwinAuster.",ocr,0.917,"TROCHALOPTERON VIRGATUM, White-eyebrowed",yes,
III,41,BirdsAsiaJohnGoIIIGoul,172,portrait,Trochalopteron Blythii,"TROCHALOPTERON BLYTHU, J.Verr.",ocr (garbled),0.907,"TROCHALOPTERON Blyth’s Laughing Trochalopteron Blythi, J. Verr. N. Arch. Mus. vi",yes,
III,42,BirdsAsiaJohnGoIIIGoul,176,portrait,Trochalopteron Elliotii,"TROCHALOPTERON ELLIOTI, J.Ver.",ocr,0.914,"TROCHALOPTERON ELLIOTIL, v. Elliot’s Trochalopteron Elliotii, J. Verr. Nouv. Arc",yes,
III,43,BirdsAsiaJohnGoIIIGoul,180,portrait,Trochalopteron melanostigma,"TROCHALOPTERON MELANOSTIGMA, Blyth.",ocr,0.899,"TROCHALOPTERON Tickell’s Laughing Trochalopteron melanostigma, Blyth, Journ, As.",yes,
III,44,BirdsAsiaJohnGoIIIGoul,184,portrait,Ianthocincla ocellata,IANTHOCINCLA OCELLATA .,ocr,0.906,"IANTHOCINCLA Ocellated Cinclosoma ocellatum, Vig. in Proc. of Comm. of Sci. and ",yes,
III,45,BirdsAsiaJohnGoIIIGoul,188,portrait,Ianthocincla Artemisiae,IANTHOCINCIA ARTEMISIA .,ocr,0.907,"IANTHOCINCLA ARTEMISI Allied Cinclosoma Artemisia, David, Ann. & Mag. Nat. Hist.",yes,
III,46,BirdsAsiaJohnGoIIIGoul,192,portrait,Ianthocincla lunulata,"IANTHOCINCLA LUNULATA, J.Verr.",ocr,0.903,"IANTHOCINCLA LUNULATA, ¥. Lunulated Janthocinela lunulata, J. Verr. Nouv. Archiv",yes,
III,47,BirdsAsiaJohnGoIIIGoul,196,portrait,Ianthocincla Austeni,IANTHOCINCLA AUSTENI.,ocr,0.908,"IANTHOCINCLA Austen’s Trochalopteron Austent, Jerd. in Ibis, 1872, p. 304.—Aust.",yes,
III,48,BirdsAsiaJohnGoIIIGoul,200,portrait,Garrulax Delesserti,"GARRULAX DELESSERTI, Jerd.",eye,,"GARRULAX DELESSERTI, vera. Delessert’s Garrulax. | Crateropus Delesserti, Jerd. ",yes,
III,49,BirdsAsiaJohnGoIIIGoul,204,portrait,Garrulax gularis,GARRULAX GULARIS.,ocr,0.914,"GARRULAX Yellow-throated Tanthocincla gularis, McClell. Proc. Zool. Soc., part v",yes,
III,50,BirdsAsiaJohnGoIIIGoul,208,portrait,Garrulax ruficeps,"GARRULAX RUFICEPS, Could.",ocr,0.907,"GARRULAX RUFICEPS, Red-crowned",yes,
III,51,BirdsAsiaJohnGoIIIGoul,212,portrait,Garrulax poecilorhyncha,"GARRULAX POCILORHYNCHA, Gould.",ocr,0.911,"GARRULAX PQCILORHYNCHA, Black- and Yellow-billed Garrulax pecilorhyncha, Gould i",yes,
III,52,BirdsAsiaJohnGoIIIGoul,216,portrait,Garrulax galbanus,"GARRULAX GALBANUS, GodwinAusten.",ocr,0.908,"GARRULAX GALBANUS, Black-chinned Garrulax galbanus, Godwin-Austen, P. Z.S., 1874",yes,
III,53,BirdsAsiaJohnGoIIIGoul,220,portrait,Garrulax picticollis,"GARRULAX PICTICOLLIS, Swinh.",ocr,0.906,"GARRULAX PICTICOLLIS, Grey-banded Laughing Garrulax picticollis, Swinhoe, P. Z.S",yes,
III,54,BirdsAsiaJohnGoIIIGoul,224,portrait,Garrulax chinensis,GARRULAX CHONENSIS.,ocr,0.918,"GARRULAX Chinese Lantus chinensis, Turdus shanhu, Gmel. edit. Linn. Syst. Nat., ",yes,
III,55,BirdsAsiaJohnGoIIIGoul,228,portrait,Pterorhinus Davidi,"PTERORIUNUS DAVIDI, Swinh.",ocr,0.909,"PTERORHINUS DAVIDI, Pere David’s Pterorhinus Davidi, Swinh. in Ibis, 1868, p. So",yes,
III,56,BirdsAsiaJohnGoIIIGoul,232,portrait,Actinodura Egertoni,"ACTINODTRA EGERTONI, Gould.",ocr,0.911,"—— a ACTINODURA EGERTONIL, Egerton’s Actinodura Egerton, Gould in Proc. of Zool.",yes,
III,57,BirdsAsiaJohnGoIIIGoul,236,portrait,Actinodura Nipalensis,"ACTINODURA NIPALENSIS, Hodgs.",ocr,0.906,"ACTINODURA NIPALENSIS, Nepaulese Cinclosoma nipalensis, Hodgs. in Asiat. Res., v",yes,
III,58,BirdsAsiaJohnGoIIIGoul,240,portrait,Actinodura Waldeni,"ACTINODURA WALDENI, Godwin -Austen.",ocr,0.914,"ACTINODURA ‘Walden’s Actinodura. Actinodura Waldeni, Godwin-Austen, P. Z.S., 187",yes,
III,59,BirdsAsiaJohnGoIIIGoul,244,portrait,Actinodura Ramsayi,"ACTINODURA RAMSAYI, Walden.",ocr,0.906,ACTINODURA Ramsay’s Barwine. |,yes,
III,60,BirdsAsiaJohnGoIIIGoul,248,portrait,Rimator malacoptilus,"RIMATOR MALACOPTILUS, Blyth.",ocr,0.909,"RIMATOR MALACOPTILUS, Long-billed Rimator malacoptilus, Blyth, Journ. Asiat. Soc",yes,
III,61,BirdsAsiaJohnGoIIIGoul,252,portrait,Drymochares stellatus,"DRYMOCHARES STELLATUS, Gould.",ocr,0.911,"DRYMOCHARES STELLATUS, Stellated Brachypteryx (Drymochares) stellatus, Gould in ",yes,
III,62,BirdsAsiaJohnGoIIIGoul,256,portrait,Turdinulus Roberti,TURDINULUS ROBERTI.,ocr,0.897,"TURDINULUS Robert’s Pygmy Pnoepyga, sp., Godwin-Austen, Journ. As. Soc. Beng. xx",yes,
III,63,BirdsAsiaJohnGoIIIGoul,260,portrait,Turdinus brevicaudatus,"TURDINUS BREVICAUDATUS, Blyth.",ocr,0.909,"TURDINUS BREVICAUDATUS, Short-tailed Turdinus brevicaudatus, Blyth, Journ. Asiat",yes,
III,64,BirdsAsiaJohnGoIIIGoul,264,portrait,Yuhina diademata,"YOHNA DIADEMATA, J. Verr.",ocr,0.912,"YUHINA DIADEMATA, J. White-naped",yes,
III,65,BirdsAsiaJohnGoIIIGoul,268,portrait,Pellorneum palustre,"PELLORNEUM PALUSTRE, Jerd.",ocr,0.905,"PELLORNEUM PALUSTRE,",yes,
III,66,BirdsAsiaJohnGoIIIGoul,272,portrait,Alcippe brunnea,"ALCIPPE BRUNNEA, Gould.",ocr,0.921,"ALCIPPE BRUNNEA, Brown",yes,
III,67,BirdsAsiaJohnGoIIIGoul,276,portrait,Cutia Nipalensis,"CUTIA NIPALENSIS, Hodgs",ocr,0.892,"CUTIA NIPALENSIS, Nepaul Cutia Nipalensis, Hodgs. Journ. Asiat. Soc. Beng. vol. ",yes,
III,68,BirdsAsiaJohnGoIIIGoul,280,portrait,Suthora brunnea,"SUTIHORA BRUNNEA, Anderson.",ocr,0.901,"SUTHORA BRUNNEA, Anderson’s",yes,
III,69,BirdsAsiaJohnGoIIIGoul,284,portrait,Suthora munipurensis,"SUTHORA MUNIPURENSIS, Godrin Austen.",ocr,0.915,"SUTHORA MUNIPURENSIS, G-austen §& Munipur Suthora mumpurensis, Godwin-Austen & W",yes,
III,70,BirdsAsiaJohnGoIIIGoul,288,portrait,Suthora Nipalensis,"SUTHORA NIPALENSIS, Hodgs.",ocr,0.9,"SUTHORA NI PALENSIS, White-faced | Suthora Nipalensis, Hodgs. Ind. Rey. 1838, p.",yes,
III,71,BirdsAsiaJohnGoIIIGoul,292,portrait,Suthora fulvifrons,"SUTHORA FULVIFROUS, Hodgs.",ocr,0.914,SUTHORA Fulvous-fronted,yes,
III,72,BirdsAsiaJohnGoIIIGoul,296,portrait,Suthora Webbiana,"SUTHORA WEBBIANA, GR.Gray.",ocr,0.909,"SUTHORA WEBBIANA, GR. Webb’s",yes,
III,73,BirdsAsiaJohnGoIIIGoul,300,portrait,Paradoxornis Austeni,"PARADOXORNIS AUSTENI, Gould.",ocr,0.909,PARADOXORNIS AUSTENL ». Austen’s As long ago as 18361 published the first specie,yes,
III,74,BirdsAsiaJohnGoIIIGoul,304,portrait,Paradoxornis Heudei,"PARADOXORNIS HEUDEI, A Darid.",ocr,0.919,"PARADOXORNIS: HEUDEL 4. Pere Heude’s Paradoxornis Heudei, David, Comptes Rendus,",yes,
III,75,BirdsAsiaJohnGoIIIGoul,308,portrait,Paradoxornis flavirostris,"PARADOXORNIS FLAYIROSTRIS, Gould",ocr,0.907,"PARADOXORNIS FLAVIROSTRIS, Paradoxornis flavirostris, Gould in Proc. of Zool. So",yes,
III,76,BirdsAsiaJohnGoIIIGoul,312,portrait,Paradoxornis unicolor,PARADOXORNIS UNICOLOR.,ocr,0.901,"PARADOXORNIS UNICOLOR, Long-tailed",yes,
III,77,BirdsAsiaJohnGoIIIGoul,316,portrait,Paradoxornis gularis,"PARADOXORNIS GULARIS, Horsf",ocr,0.894,"PARADOXORNIS GULARIS, Grey-crowned",yes,
III,78,BirdsAsiaJohnGoIIIGoul,320,portrait,Paradoxornis ruficeps,PARADOXORNIS RUFICEPS.,ocr,0.902,"PARADOXORNIS RUFICEPS, Red-headed Paradoxornis. Paradoxorms ruficeps, Blyth, Jou",yes,
IV,1,BirdsAsiaJohnGoIVGoul,12,portrait,Tesia cyaneiventer,"TESIA CYANEIVENTER, Hodgs",ocr,0.894,"TESTA CYANEIVENTER, Blue-bellied Tesia cyanwwenter, Hodgs. Journ. Asiat. Soc. Be",yes,
IV,2,BirdsAsiaJohnGoIVGoul,16,portrait,Tesia castaneo-coronata,TESIA CASTANEOCORONATA.,ocr,0.914,TESTA Chestnut-crowned,yes,
IV,3,BirdsAsiaJohnGoIVGoul,20,portrait,Rhopophilus pekinensis,"RHOPOPHOLUS PEKINENSIS, Swinh.",ocr,0.909,"RHOPOPHILUS PEKINENSIS, Chinese Drymeca (2) pekinensis, Swinh. in Ibis, 1868, p.",yes,
IV,4,BirdsAsiaJohnGoIVGoul,24,portrait,Suya lepida,SUYA LEPIDA.,ocr,0.877,"eee SUYA ™ Little Prinia lepida, Blyth, Journ. Asiat. Soc. Beng., vol. xii. p. 3",yes,
IV,5,BirdsAsiaJohnGoIVGoul,28,portrait,Dumetia albogularis,"DUMETIA ALBOCULARIS, Blyth",ocr,0.91,"DUMETIA ALBOGULARIS, White-throated Malacocercus albogularis, Blyth, Journ. Asia",yes,
IV,6,BirdsAsiaJohnGoIVGoul,32,portrait,Dumetia hyperythra,DUMETIA HYPERYTHRA.,ocr,0.914,DUMETIA Buff-throated,yes,
IV,7,BirdsAsiaJohnGoIVGoul,36,portrait,Orthotomus longicaudus,ORTHOTOMUS LONGICAUDUS.,ocr,0.908,"ORTHOTOMUS Motacilla longicauda, Gmel. edit. Linn. Syst. Nat., tom. i. p. Orthot",yes,
IV,8,BirdsAsiaJohnGoIVGoul,40,portrait,Staphida torqueola,"STAPEDA TORQUEOLA, Swinh.",ocr,0.905,"STAPHIDA TORQUEOLA, Grey-headed Siva torqueola, Swinh. in Ann. and Mag. Nat. His",yes,
IV,9,BirdsAsiaJohnGoIVGoul,44,portrait,Stachyris pyrrhops,"STACHYRIS PYRRHOPS, Hodgs.",ocr,0.915,"STACHYRIS PYRRHOPS, Red-eyed",yes,
IV,10,BirdsAsiaJohnGoIVGoul,48,portrait,Stachyris ruficeps,"STACHYRIS RUFICEPS, Blyth.",ocr,0.914,"STACHYRIS RUFICEPS, Red-headed Stachyris ruficeps, Blyth, Journ. Asiat. Soc. Ben",yes,
IV,11,BirdsAsiaJohnGoIVGoul,52,portrait,Ixulus castaneiceps,"IXULUS CASTANICEPS, Moore.",ocr,0.893,"IXULUS CASTANICEPS,",yes,
IV,12,BirdsAsiaJohnGoIVGoul,56,portrait,Ixulus occipitalis,"IXULUS OCCIPITALIS, Blyth.",ocr,0.908,"IXULUS OCCIPITALIS, Thick-billed",yes,
IV,13,BirdsAsiaJohnGoIVGoul,60,portrait,Ixulus flavicollis,"IXULUS FLAVICOLLIS, HodgS.",ocr,0.915,"IXULUS FLAVICOLLIS, Crested Yuhina flavicolis, Hodgs. in Asiat. Research., vol. ",yes,
IV,14,BirdsAsiaJohnGoIVGoul,64,portrait,Yuhina occipitalis,"YUHINA OCCIPITALIS, Hodgs.",ocr,0.906,"YUHINA OCCIPITALIS, Rusty-naped",yes,
IV,15,BirdsAsiaJohnGoIVGoul,68,portrait,Leiothrix luteus,"LEIOTHRIX LUTEUS,",ocr,0.907,"LEIOTHRIX Fork-tailed Mésange de Nanquin, Sonn. Voy., tom. ii. p. 205. pl. 114. ",yes,
IV,16,BirdsAsiaJohnGoIVGoul,72,portrait,Leiothrix argentauris,LEIOTHRIX ARCENTAURIS.,ocr,0.914,"LEIOTHRIX Silver-eared Mesia argentauris, Hodgs. Ind. Rev., vol. ii. 1838, p. 88",yes,
IV,17,BirdsAsiaJohnGoIVGoul,76,portrait,Leiothrix laurinae,"LEIOTHRIX LAURINÆ, Salvad.",ocr,0.917,"LEIOTHRIX LAURI N AL,",yes,
IV,18,BirdsAsiaJohnGoIVGoul,80,portrait,Siva strigula,"SIVA STRIGULA, Hodgs.",ocr,0.91,"SIVA STRIGULA, Striped-throated Swa strigula, Hodgs. Ind. Reyv., 1838, p. 89.—Gr",yes,
IV,19,BirdsAsiaJohnGoIVGoul,84,portrait,Siva cyanouroptera,"SIVA CYANOUROPTERA, Hodgs",ocr,0.916,"SIVA CYANOUROPTERA, Blue-winged Siva cyanouroptera, Hodg. Ind. Rev. 1838, p. 88.",yes,
IV,20,BirdsAsiaJohnGoIVGoul,88,portrait,Myzornis pyrrhoura,"MYZORNIS PYRRHOTRA, Hodgs.",ocr,0.892,"MYZORNIS PYRRHOURA, Red-tailed Myzornis pyrrhowra, Hodgs. Blyth, Journ. Asiat. S",yes,
IV,21,BirdsAsiaJohnGoIVGoul,92,landscape,Cinclus Asiaticus,CINCLUS ASIATICUS Swains.,ocr,,"CINCLUS ASIATICUS, Swans. Asiatic Cinclus Asiaticus, Swains. Faun. Bor. Mer. VOL",yes,
IV,22,BirdsAsiaJohnGoIVGoul,96,landscape,Cinclus Pallasi,"CINCLUS PALLASH, Temm",ocr,,"| WD CINCLUS PALLAST, Pallas’s Sturnus cinclus, var., Pallas. Cinclus Pallasii, ",yes,
IV,23,BirdsAsiaJohnGoIVGoul,100,portrait,Cinclus sordidus,"CINCLUS SORDIDUS, Gould!",ocr,0.903,"CINCLUS SORDIDUS, Gowd Sombre-coloured Cinclus sordidus, Gould in Proc. of Zool.",yes,
IV,24,BirdsAsiaJohnGoIVGoul,104,landscape,Cinclus leucogaster,"CINCLUS LEUCOGASTER, Eversm",ocr,,"CINCLUS LEUCOGASTER, White-bellied Cinclus leucogaster, Eversm. Add. Pall. Zoog.",yes,
IV,25,BirdsAsiaJohnGoIVGoul,108,landscape,Cinclus Cashmeriensis,"CINCLUS CASHMEIRIENSIS, Could",ocr,,"IE I LO AO A ee - - ——— = = eames: CINCLUS CASHMERIENSIS, Gowa. Cashmerian Water",yes,
IV,26,BirdsAsiaJohnGoIVGoul,112,landscape,Dromolea picata,DROMOLÀA PICATA.,ocr,,"ee Le A — ee ene DROMOLAA Pied Saxicola picata, Blyth, Journ. Asiat. Soc. Beng.,",yes,
IV,27,BirdsAsiaJohnGoIVGoul,116,portrait,Dromolea opistholeuca,DROMOLÆA OPISTHOLEUCA.,ocr,0.924,"DROMOLAA OPISTHOLEUCA. White-tailed Samicola opistholeuca, Strickl. in Jard. Con",yes,
IV,28,BirdsAsiaJohnGoIVGoul,120,portrait,Saxicola capistrata,"SAXICOLA CAPISTRATA,",ocr,0.921,", = i en RP A OP AP A I AL I SAXICOLA CAPISTRATA, Goud. Grey-capped Stone-Chat. ",yes,
IV,29,BirdsAsiaJohnGoIVGoul,124,portrait,Saxicola leucomela,SAXICOLA LEUCOMELA.,ocr,0.917,OS SAXICOLA Black and White,yes,
IV,30,BirdsAsiaJohnGoIVGoul,128,portrait,Saxicola montana,SAXICOLA MONTANA. Gould.,ocr,0.919,"sn LT A I A I AA SAXICOLA MONTANA, Mountain",yes,
IV,31,BirdsAsiaJohnGoIVGoul,132,landscape,Saxicola atrogularis,"SAXICOLA ATROGULARIS, BUTh",ocr,,"SAXICOLA ATROGULARIS, Black-throated Sawicola atrogularis, Blyth, Journ. Asiat. ",yes,
IV,32,BirdsAsiaJohnGoIVGoul,136,portrait,Rhodophila melanoleuca,"RHODOPHULA MÈLANOLEUCA, Jerd.",ocr,0.916,"RHODOPHILA MELANOLEUGCA, Black and White Rhodophila melanoleuca, Jerd. Birds of ",yes,
IV,33,BirdsAsiaJohnGoIVGoul,140,portrait,Pratincola leucura,"PRATINCOLA LEUCURA, Blyth.",ocr,0.913,"LEE A IR A AL A A PRATINCOLA LEUCURA, White-tailed Pratincola leucura, Blyth, Jo",yes,
IV,34,BirdsAsiaJohnGoIVGoul,144,portrait,Pratincola Indica,"PRATINCOLA INDICA, Blyth.",ocr,0.919,"TS PRATINCOLA INDICA, Indian Saxicola saturatior, Hodgs., in Gray’s Zool. Miscel",yes,
IV,35,BirdsAsiaJohnGoIVGoul,148,portrait,Grandala coelicolor,"GRANDALA COLICOLOR, Hodgs.",ocr,0.924,"ta cae A OO I I TE ES LOE AO Le PI AOE LA RA OE I NT GRANDALA CQCELICOLOR, Celes",yes,
IV,36,BirdsAsiaJohnGoIVGoul,152,portrait,Ruticilla erythrogastra,RUTICILLA ERYTHROGASTRA.,ocr,0.907,a NE  ————————————— oS Fe ae Se ee RUTICILLA Great White-capped Motacilla erythr,yes,
IV,37,BirdsAsiaJohnGoIVGoul,156,portrait,Ruticilla erythroprocta,"RUTICILLA ERYTHROPROCTA, Gould.",ocr,0.9,"RUTICILLA ERYTHROPROCTA, | Coal-black",yes,
IV,38,BirdsAsiaJohnGoIVGoul,160,portrait,Calliope camtschatkensis,CALLIOPE CAMTCHATKENSIS.,ocr,0.916,"CALLIOPE Siberian Motacilla calliope, Pallas, Reise Russ. Reichs, iii. p. 697.—I",yes,
