volume,plate,ku_id,ku_english,ku_sci,printed
IV,63,ku-gould:16488,"Lavandera blanca, White Wagtail",Motacilla alba,Motacilla personata -- Masked wagtail
IV,64,ku-gould:16484,Citrine Wagtail,Motacill citreola ,Budytes citreoloides -- Yellow-headed wagtail
IV,65,ku-gould:16480,"Olive Tree-Pipit, Olive-backed Pipit",Anthus hodgsoni,Pipastes agilis -- Indian tree-pipit
IV,66,ku-gould:16476,"Red-throated Pipit, Bisbita garganta roja",Anthus cervinus,Red-throated pipit
IV,67,ku-gould:16472,Forest Wagtail,Dendronanthus indicus,Limonidromus indicus -- Variegated wagtail
IV,68,ku-gould:16468,Spotted Forktail,Enicurus maculatus,Lunated forktail
IV,69,ku-gould:16464,Spotted Forktail,Enicurus maculatus,Enicurus guttatus
IV,70,ku-gould:16460,White-crowned Forktail,Enicurus leschenaulti,Enicurus chinensis -- Chinese forktail
IV,71,ku-gould:16456,Little Forktail,Enicurus scouleri,Scouler's forktail
IV,72,ku-gould:16452,Melanocorypha maxima,Melanocorypha maxima,Long-billed calandre
V,1,ku-gould:16431,Tibetan Snowfinch,Montifringilla adamsi haematopygia,Montifringilla adamsii -- Adams's mountain finch
V,2,ku-gould:16427,"Asian Rosy Finch, Rosy Finch",Leucosticte arctoa,Montifringilla aretoa -- Northern mountain finch
V,3,ku-gould:16423,Brandt's Mountain Finch,Leucosticte brandti,Montifringilla haematopygia -- Red-rumped mountain finch
V,4,ku-gould:16419,"Asian Rosy Finch, Rosy Finch",Leucosticte arctoa brunneonucha,Montifringilla brunneinucha -- Brown-naped mountain finch
V,5,ku-gould:16415,Montifringilla ruficollis,Montifringilla ruficollis,Red-necked mountain finch
V,6,ku-gould:16411,White-capped Bunting,Emberiza stewarti,Emberiza caniceps -- Grey-capped bunting
V,7,ku-gould:16407,Little Bunting,Emberiza pusilla,Dwarf bunting
V,8,ku-gould:16403,Cinereous Bunting,Emberiza cineracea,Emberiza cinerea
V,9,ku-gould:16399,Chestnut-eared Bunting,Emberiza fucata,Painted bunting
V,10,ku-gould:16395,Rustic Bunting,Emberiza rustica,
V,11,ku-gould:16391,Grey-necked Bunting,Emberiza buchanani,Glyeyspina huttoni -- Hutton's bunting
V,12,ku-gould:16387,Yellow-throated Bunting,Emberiza elegans,Euspiza elegans -- Elegant bunting
V,13,ku-gould:16383,Black-headed Bunting,Emberiza melanocephala,Euspiza melanocephala
V,14,ku-gould:16379,Red-headed Bunting,Emberiza bruniceps,Euspiza luteola
V,15,ku-gould:16375,Saxaul Sparrow,Passer ammodendri,Turkestan sparrow
V,16,ku-gould:16371,Spectacled Finch,Callacanthis burtoni,Fringilla burtoni -- Burton's grosbeak
V,17,ku-gould:16367,"Eurasian Goldfinch, European Goldfinch, chardonneret élégant",Carduelis carduelis,Carduelis orientalis -- Eastern goldfinch
V,18,ku-gould:16363,Japanese Grosbeak,Eophona personata,Euphona personata -- Masked grosbeak
V,19,ku-gould:16359,Yellow-billed Grosbeak,Eophona migratoria,Euphona melannra -- Black-tailed grosbeak
V,20,ku-gould:16355,Spot-winged Grosbeak,Mycerobas melanozanthos,Mycerobas melanoxanthus -- Black-and-yellow grosbeak
V,21,ku-gould:16351,White-winged Grosbeak,Mycerobas carnipes,Mycerobas carneipes -- Flesh-footed grosbeak
V,22,ku-gould:16347,Black-and-yellow Grosbeak,Mycerobas icterioides,Hesperiphona ieterioides -- Ieterine grosbeak
V,23,ku-gould:16343,Collared Grosbeak,Mycerobas affinis,Hesperiphona affinis -- Allied grosbeak
V,24,ku-gould:16339,Scarlet Finch,Haematospiza sipahi,Sepoy finch
V,25,ku-gould:16335,Great Rosefinch,Carpodacus rubicilla,Caucasian grosbeak
V,26,ku-gould:16331,Red-mantled Rosefinch,Carpodacus rhodochlamys,Red-mantled grosbeak
V,27,ku-gould:16327,Long-tailed Rosefinch,Uragus sibiricus,Uragus sibirieus -- Siberian grosbeak
V,28,ku-gould:16323,Crimson-winged Finch,Rhodopechys sanguineus,Rhodopechys sanguinea
V,29,ku-gould:16319,Desert Finch,Rhodospiza obsoleta,Erythrospiza obsoleta -- Rosy-winged finch
V,30,ku-gould:16315,Mongolian Finch,Eremopsaltria mongolica,Erythrospiza incarnata -- Rosy finch
V,31,ku-gould:16311,Trumpeter Finch,Bucanetes githagineus,Erythrospiza githaginea -- Trumpeter bullfinch
V,32,ku-gould:16307,Pink-tailed Rosefinch,Urocynchramus pylzowi,Pylzoff's rose-bunting
V,33,ku-gould:16303,Pallas's Rosefinch,Carpodacus roseus,Carpodaeus roseus -- Rosy grosbeak
V,34,ku-gould:16299,Orange Bullfinch,Pyrrhula aurantiaca,Pyrrhula aurantia -- Orange-coloured bullfinch
V,35,ku-gould:16295,Eurasian Bullfinch,Pyrrhula pyrrhula,Pyrrhula orientalis -- Oriental bullfinch
V,36,ku-gould:16291,Red-headed Bullfinch,Pyrrhula erythrocephala,
V,37,ku-gould:16287,Brown Bullfinch,Pyrrhula nipalensis,Nepaulese bullfinch
V,38,ku-gould:16283,Eurasian Bullfinch,Pyrrhula pyrrhula,Pyrrhula major -- Northern bullfinch
V,39,ku-gould:16279,Grey-headed Bullfinch,Pyrrhula erythaca,Pyrrhula erithaeus -- Beavan's bullfinch
V,40,ku-gould:16275,Eurasian Bullfinch,Pyrrhula pyrrhula cineracea,Pyrrhula cineracea -- Cinereous bullfinch
V,41,ku-gould:16271,"Red Crossbill, bec-croisé des sapins, Picotuerto rojo",Loxia curvirostra himalayensis,Loxia himalayana -- Himalayan crossbill
V,42,ku-gould:16267,Spotless Starling,Sturnus unicolor,Sardinian starling
V,43,ku-gould:16263,"Common Starling, European Starling, Estornino pinto, étourneau sansonnet",Sturnus vulgaris,Sturnus humii -- Hume's starling
V,44,ku-gould:16259,"Common Starling, European Starling, Estornino pinto, étourneau sansonnet",Sturnus vulgaris,Sturnus purpurascens -- Persian starling
V,45,ku-gould:16255,Tristram's Starling,Onychognathus tristramii,Amydrus tristrami -- Tristram's amydrus
V,46,ku-gould:16251,Taiwan Blue Magpie,Urocissa caerulea,Formosan blue pie
V,47,ku-gould:16247,Red-billed Blue Magpie,Urocissa erythrorhyncha,Urocissa occipitalis -- Nepaulese blue pie
V,48,ku-gould:16243,Red-billed Blue Magpie,Urocissa erythrorhyncha,Urocissa sinensis -- Chinese blue pie
V,49,ku-gould:16239,Red-billed Blue Magpie,Urocissa erythrorhyncha,Urocissa magnirostris -- Great-billed blue pie
V,50,ku-gould:16235,Yellow-billed Blue Magpie,Urocissa flavirostris,Yellow-billed blue pie
V,51,ku-gould:16231,Yellow-billed Blue Magpie,Urocissa flavirostris,Urocissa cucullata -- White-capped blue pie
V,52,ku-gould:16227,Hooded Treepie,Crypsirina cucullata,Crypsirhina eueullata -- Hooded crypsirhina
V,53,ku-gould:16223,Sri Lanka Blue Magpie,Urocissa ornata,Cissa pyrrhocyanea -- Red-and-blue cissa
V,54,ku-gould:16219,Common Green Magpie,Cissa chinensis,Cissa venatoria -- Hunting cissa
V,55,ku-gould:16215,"Black-billed Magpie, Eurasian Magpie, pie bavarde",Pica pica,Pica leucoptera -- White-winged magpie
V,56,ku-gould:16211,"Black-billed Magpie, Eurasian Magpie, pie bavarde",Pica pica,Pica bactriana -- Affghan magpie
V,57,ku-gould:16207,"Black-billed Magpie, Eurasian Magpie, pie bavarde",Pica pica,Pica bottanensis -- Bootan magpie
V,58,ku-gould:16203,Eurasian Jay,Garrulus glandarius,Garrulus taivanus -- Formosan jay
V,59,ku-gould:16199,Spotted Nutcracker,Nucifraga caryocatactes,Nucifraga multipunctata -- Many-spotted nutcracker
V,60,ku-gould:16195,Biddulph's Ground Jay,Podoces biddulphi,Biddulph's podoces
V,61,ku-gould:16191,Henderson's Ground Jay,Podoces hendersoni,Henderson's podoces
V,62,ku-gould:16187,Pander's Ground Jay,Podoces panderi,Pander's podoces
V,63,ku-gould:16183,Pseudopodoces humilis,Pseudopodoces humilis,Podoces humilis -- Dingy podoces
V,64,ku-gould:16179,Indian Pitta,Pitta brachyura,Pitta bengalensis -- Bengal pitta
V,65,ku-gould:16175,Fairy Pitta,Pitta nympha,Pitta oreas -- Formosan pitta
V,66,ku-gould:16171,Bar-bellied Pitta,Pitta elliotii,Pitta ellioti -- Elliot's pitta
V,67,ku-gould:16167,Garnet Pitta,Pitta granatina,Bornean pitta
V,68,ku-gould:16163,Garnet Pitta,Pitta granatina coccinea,Pitta coccinea -- Malaccan pitta
V,69,ku-gould:16159,Blue-banded Pitta,Pitta arquata,Necklaced pitta
V,70,ku-gould:16155,Mangrove Pitta,Pitta megarhyncha,Large-billed pitta
V,71,ku-gould:16151,Whiskered Pitta,Pitta kochi,Koch's pitta
V,72,ku-gould:16147,Blue-headed Pitta,Pitta baudii,Red-backed pitta
V,73,ku-gould:16143,Gurney's Pitta,Pitta gurneyi,
V,74,ku-gould:16139,Azure-breasted Pitta,Pitta steerii,Steere's pitta
V,75,ku-gould:16135,Graceful Pitta,Pitta venusta,Pitta ussheri -- Ussher's pitta
V,76,ku-gould:16131,Hooded Pitta,Pitta sordida,Pitta atricapilla -- Black-headed pitta
V,77,ku-gould:16127,Banded Pitta,Pitta guajana,Pitta cyanura -- Blue-tailed pitta
V,78,ku-gould:16123,Banded Pitta,Pitta guajana schwaneri,Pitta schwaneri -- Schwaner's pitta
V,79,ku-gould:16119,Blue-naped Pitta,Pitta nipalensis,Nepaul pitta
V,80,ku-gould:16115,Blue Pitta,Pitta cyanea,
V,81,ku-gould:16111,Giant Pitta,Pitta caerulea,Caerulean pitta
V,82,ku-gould:16107,Hooded Pitta,Pitta sordida cucullata,Pitta cucullata
V,83,ku-gould:16103,Banded Pitta,Pitta guajana,Pitta boschii -- Van der bosch's pitta
VI,1,ku-gould:16081,Layard's Parakeet,Psittacula calthropae,Palaeornis calthropae -- Mrs. layard's parrakeet
VI,2,ku-gould:16077,Blossom-headed Parakeet,Psittacula roseata,Palaeornis rosa -- Blossom-headed parrakeet
VI,3,ku-gould:16073,Plum-headed Parakeet,Psittacula cyanocephala,Palaeornis cyanocephala -- Burmese parrakeet
VI,4,ku-gould:16069,Long-tailed Parakeet,Psittacula longicauda,Palaeornis luciani -- Bonaparte's parrakeet
VI,5,ku-gould:16065,Nicobar Parakeet,Psittacula caniceps,Palaeornis caniceps -- Grey-headed parrakeet
VI,6,ku-gould:16061,Long-tailed Parakeet,Psittacula longicauda nicobarica,Palaeornis nicobaricus -- Nicobar parrakeet
VI,7,ku-gould:16057,Blue-winged Parakeet,Psittacula columboides,Palaeornis columboides -- Blue-winged parrakeet
VI,8,ku-gould:16053,Slaty-headed Parakeet,Psittacula himalayana,Palaeornis schisticeps -- Slaty-headed parrakeet
VI,9,ku-gould:16049,Lord Derby's Parakeet,Psittacula derbiana,Palaeornis derbianus -- The earl of derby's parrakeet
VI,10,ku-gould:16045,Long-tailed Parakeet,Psittacula longicauda,Palaeornis malaccensis -- Malacca parrakeet
VI,11,ku-gould:16041,Long-tailed Parakeet,Psittacula longicauda,Palaeornis affinis -- Allied parrakeet
VI,12,ku-gould:16037,Golden-mantled Racket-tai,Prioniturus platurus,Prioniturus setarius -- Racket-tailed parrot
VI,13,ku-gould:16033,Yellow-breasted Racket-tai,Prioniturus flavicans,Prioniturus flavicana -- Great racket-tailed parrot
VI,14,ku-gould:16029,Golden-mantled Racket-tai,Prioniturus platurus,Prioniturus spatuliger -- Philippina racket-tailed parrot
VI,15,ku-gould:16025,Blue-crowned Racket-tail,Prioniturus discurus,Little racket-tailed parrot
VI,16,ku-gould:16021,White-backed Woodpecker,Dendrocopos leucotos insularis,Picus insularis -- Formosan spotted woodpecker
VI,17,ku-gould:16017,Great Spotted Woodpecker,Dendrocopos major cabanisi,Picus cabanisi -- Chinese spotted woodpecker
VI,18,ku-gould:16013,Heart-spotted Woodpecker,Hemicircus canente,Hemicercus cordatus
VI,19,ku-gould:16009,Grey-and-buff Woodpecker,Hemicircus concretus,Hemicercus concretus -- Javan spotted woodpecker
VI,20,ku-gould:16005,Grey-and-buff Woodpecker,Hemicircus concretus,Hemicercus hartlaubi -- Hartlaub's spotted woodpecker
VI,21,ku-gould:16001,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus scintilliceps,Iyngipicus scintilliceps -- Swinhoe's pygmy woodpecker
VI,22,ku-gould:15997,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus doerriesi,Iyngipicus doerriesi -- Doerria's pygmy woodpecker
VI,23,ku-gould:15993,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus aurantiiventris,Iyngipicus aurantiiventris -- Orange-breasted pygmy woodpecker
VI,24,ku-gould:15989,Philippine Pygmy Woodpecker,Dendrocopos maculatus,Iyngipicus ramsayi -- Ramsay's pygmy woodpecker
VI,25,ku-gould:15985,Sulawesi Pygmy Woodpecker,Dendrocopos temminckii,Iyngipicus temmincki -- Temminck's pygmy woodpecker
VI,26,ku-gould:15981,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus semicoronatus,Iyngipicus semicoronatus -- Darjiling pygmy woodpecker
VI,27,ku-gould:15977,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus canicapillus,Iyngipicus canicapillus -- Grey-headed pygmy woodpecker
VI,28,ku-gould:15973,Sunda Pygmy Woodpecker,Dendrocopos moluccensis hardwickii,Iyngipicus hardwickii -- Hardwicke's pygmy woodpecker
VI,29,ku-gould:15969,Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus auritus,Iyngipicus auritus -- Malayan pygmy woodpecker
VI,30,ku-gould:15965,Philippine Pygmy Woodpecker,Dendrocopos maculatus maculatus,Iyngipicus maculatus -- Sonnerat's pygmy woodpecker
VI,31,ku-gould:15961,Philippine Pygmy Woodpecker,Dendrocopos maculatus fulvifasciatus,Iyngipicus fulvifasciatus -- Banded pygmy woodpecker
VI,32,ku-gould:15957,Sunda Pygmy Woodpecker,Dendrocopos moluccensis gymnopthalmus,Iyngipicus gymnophthalmus -- Ceylonese pygmy woodpecker
VI,33,ku-gould:15953,Sunda Pygmy Woodpecker,Dendrocopos moluccensis,Iyngipicus peninsularis -- Travancore pygmy woodpecker
VI,34,ku-gould:15949,Sunda Pygmy Woodpecker,Dendrocopos moluccensis nanus,Iyngipicus nanus -- Vigors's pygmy woodpecker
VI,35,ku-gould:15945,Grey-headed Woodpecker,Picus canus tancolo,Gecinus tancolo -- Formosan green woodpecker
VI,36,ku-gould:15941,Greater Yellownape,Picus flavinucha,Chrysophlegma flavinucha -- Yellow-naped woodpecker
VI,37,ku-gould:15937,Greater Goldenback,Chrysocolaptes lucidus xanthocephalus,Chrysocolaptes xanthocephalus -- Negros yellow-faced woodpecker
VI,38,ku-gould:15933,Eurasian Wryneck,Jynx torquilla,Yunx indica -- Indian wryneck
VI,39,ku-gould:15929,Speckled Piculet,Picumnus innominatus,Vivia innominata
VI,40,ku-gould:15925,White-browed Piculet,Sasia ochracea,Rufous piculet
VI,41,ku-gould:15921,Rufous Piculet,Sasia abnormis,Malayan piculet
VI,42,ku-gould:15917,Cuculus sparverioides,Cuculus sparverioides,Cuculus strennus -- Powerful cuckoo
VI,43,ku-gould:15913,Cuculus hyperythrus,Cuculus hyperythrus,Rufous-bellied cuckoo
VI,44,ku-gould:15909,Rough-crested Malkoha,Dasylophus superciliosus,Hairy-browed cuckoo
VI,45,ku-gould:15905,Scale-feathered Malkoha,Lepidogrammus cumingi,Curl-creasted cuckoo
VI,46,ku-gould:15901,Asian Emerald Cuckoo,Chrysococcyx maculatus,Chalcites hodgsoni -- Emerald cuckoo
VI,47,ku-gould:15897,Violet Cuckoo,Chrysococcyx xanthorhynchus,Chalcites xanthorhynchus -- Amethystine cuckoo
VI,48,ku-gould:15893,Yellow-rumped Honeyguide,Indicator xanthonotus,Yellow-rumped honey-guide
VI,49,ku-gould:15889,Black-browed Barbet,Megalaima oorti nuchalis,Megalaema nuchalis -- Embroidered barbet
VI,50,ku-gould:15885,Golden-throated Barbet,Megalaima franklinii,Megalaema franklinii -- Franklin's barbet
VI,51,ku-gould:15881,Luzon Bleeding-heart,Gallicolumba luzonica,Phlogoenas cruenta -- Red-breasted pigeon
VI,52,ku-gould:15877,Mindanao Bleeding-heart,Gallicolumba crinigera,Phlogoenas crinigera -- Maroon-breasted pigeon
VI,53,ku-gould:15873,Pheasant Pigeon,Otidiphaps nobilis,Otidiphaps
VI,54,ku-gould:15869,Hill Pigeon,Columba rupestris,Mongolian rock-pigeon
VI,55,ku-gould:15865,Snow Pigeon,Columba leuconota,White-bellied pigeon
VI,56,ku-gould:15861,"Common Pigeon, Paloma domﾎstica, pigeon biset, Rock Dove, Rock Pigeon",Columba livia intermedia,Columba intermedia -- Indian rock-pigeon
VI,57,ku-gould:15857,Nilgiri Wood Pigeon,Columba elphinstonii,Palumbus elphinstonei -- Elphinstone's wood-pigeon
VI,58,ku-gould:15853,Ashy Wood Pigeon,Columba pulchricollis,Palumbus pulchricollis -- Collared wood-pigeon
VI,59,ku-gould:15849,Sulawesi Ground Dove,Gallicolumba tristigmata,Phlogoenas tristigmata -- Branded pigeon
VI,60,ku-gould:15845,Pallas's Sandgrous,Syrrhaptes paradoxus,Palla's sand-grouse
VI,61,ku-gould:15841,Tibetan Sandgrouse,Syrrhaptes tibetanus,Tibetian short-toed sand-grouse
VI,62,ku-gould:15837,Yellow-throated Sandgrouse,Pterocles gutturalis,Pterocles guttatus -- Spotted sand-grouse
VI,63,ku-gould:15833,Crowned Sandgrouse,Pterocles coronatus,Coronetted sand-grouse
VI,64,ku-gould:15829,Chestnut-bellied Sandgrouse,Pterocles exustus,Whistling sand-grouse
VI,65,ku-gould:15825,Painted Sandgrouse,Pterocles indicus,Pterocles fasciatus -- Banded sand-grouse
VI,66,ku-gould:15821,"Black Grouse, Eurasian Black Grouse",Lyrurus tetrix,Tetrao mlokosiewiezi -- Georgian black grouse
VI,67,ku-gould:15817,"Ceylon Spurfowl, Sri Lanka Spurfowl",Galloperdix bicalcarata,Galloperdix zeylonicus -- Ceylon spur-fowl
VI,68,ku-gould:15813,Red Spurfowl,Galloperdix spadicea,Galloperdix spadiceus -- Rufous spur-fowl
VI,69,ku-gould:15809,Painted Spurfowl,Galloperdix lunulata,Galloperdix lunulosa -- Painted spur-fowl
VI,70,ku-gould:15805,Crimson-headed Partridge,Haematortyx sanguiniceps,Crimson-breasted partridge
VI,71,ku-gould:15801,"Red-breasted Hill Partridge, Red-breasted Partridge",Arborophila hyperythra,Bambusicola hyperythra -- Rufous-breasted bamboo-partridge
VI,72,ku-gould:15797,Bambusicola thoracicus sonorivox,Bambusicola thoracicus sonorivox,Bambusicola sonorivox -- Formosan bamboo-partridge
VI,73,ku-gould:15793,"Bearded Wood Partridge, Bearded Wood-Partridge, Codorniz-coluda veracruzana",Dendrortyx barbatus,Perdix barbata -- Bearded partridge
VI,74,ku-gould:15789,Tibetan Partridge,Perdix hodgsoniae,Thibet partridge
VI,75,ku-gould:15785,Snow Partridge,Lerwa lerwa,Lerwa nivicola -- Lerwa partridge
VII,1,ku-gould:15763,See-see Partridge,Ammoperdix griseogularis,Ammoperdix bonhami -- Bonham's sand-partridge
VII,2,ku-gould:15759,Sand Partridge,Ammoperdix heyi,Hey's sand-partridge
VII,3,ku-gould:15755,Painted Bush Quail,Perdicula erythrorhyncha,Microperdix erythrorhyncha -- Little red-billed partridge
VII,4,ku-gould:15751,Jungle Bush Quail,Perdicula asiatica,Asiatic bush-quail
VII,5,ku-gould:15747,Rock Bush Quail,Perdicula argoondah,Argoondah bush-quail
VII,6,ku-gould:15743,"Blue-breasted Quail, King Quail",Coturnix chinensis,Excalfactoria chinensis -- Chinese quail
VII,7,ku-gould:15739,"Blue-breasted Quail, King Quail",Coturnix chinensis,Excalfactoria minima -- Minute quail
VII,8,ku-gould:15735,Himalayan Quail,Ophrysia superciliosa,Malacoturnix superciliosus -- Slate-coloured partridge
VII,9,ku-gould:15731,Rain Quail,Coturnix coromandelica,Coturnix coromandelicus -- Coromandel quail
VII,10,ku-gould:15727,"Common Buttonquail, Kurrichane Buttonquail",Turnix sylvaticus dussumier,Turnix dussumieri -- Little hemipode
VII,11,ku-gould:15723,Barred Buttonquail,Turnix suscitator fasciatus,Turnix fasciatus -- Fasciated hemipode
