volume,plate,ku_id,ku_english,ku_sci,printed
VII,12,ku-gould:15719,Bulwer's Pheasant,Lophura bulweri,Lobiophasis castaneicaudatus -- Chestnut-tailed lobed pheasant
VII,13,ku-gould:15715,Bulwer's Pheasant,Lophura bulweri,Lobiophasis bulweri
VII,14,ku-gould:15711,Silver Pheasant,Lophura nycthemera lineata,Euplocamus lineatus -- Lineated pheasant
VII,15,ku-gould:15707,Golden Pheasant,Chrysolophus pictus,Euplocamus vieilloti -- Vieillot's fireback
VII,16,ku-gould:15703,Swinhoe's Pheasant,Lophura swinhoii,Euplocamus swinhoii -- Swinhoe's fireback
VII,17,ku-gould:15699,Silver Pheasant,Lophura nycthemera,Gennaeus nycthemerus -- Pencilled pheasant
VII,18,ku-gould:15695,Cheer Pheasant,Catreus wallichii,Cheer
VII,19,ku-gould:15691,Golden Pheasant,Chrysolophus pictus,Thaumalea pieta
VII,20,ku-gould:15687,Lady Amherst's Pheasant,Chrysolophus amherstiae,Thaumalea amherstiae
VII,21,ku-gould:15683,Siamese Fireback,Lophura diardi,Diardigallus praelatus
VII,22,ku-gould:15679,"Blue Eared Pheasant, White Eared Pheasant",Crossoptilon auritum,Chinese crossoptilon
VII,23,ku-gould:15675,Rock Bush Quail,Perdicula argoondah,Calophasis ellioti -- Elliot's pheasant
VII,24,ku-gould:15671,Koklass Pheasant,Pucrasia macrolopha xanthospila,Pucrasia xanthospila -- Chinese pucras pheasant
VII,25,ku-gould:15667,Koklass Pheasant,Pucrasia macrolopha darwini,Pucrasia darwini -- Darwin's pucras pheasant
VII,26,ku-gould:15663,Koklass Pheasant,Pucrasia macrolopha,Himalayan pucras pheasant
VII,27,ku-gould:15659,Koklass Pheasant,Pucrasia macrolopha castanea,Pucrasia castanea -- Kafiristan pucras
VII,28,ku-gould:15655,Koklass Pheasant,Pucrasia macrolopha nipalensis,Pucrasia nipalensis -- Nepaul pucras pheasant
VII,29,ku-gould:15651,Caspian Snowcock,Tetraogallus caspius,Caspian snow-partridge
VII,30,ku-gould:15647,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan snow-partridge
VII,31,ku-gould:15643,Altai Snowcock,Tetraogallus altaicus,Altaic snow-partridge
VII,32,ku-gould:15639,Tibetan Snowcock,Tetraogallus tibetanus,Tibetan snow-partridge
VII,33,ku-gould:15635,Reeves's Pheasant,Syrmaticus reevesii,Phasianus reevesii -- Reeve's pheasant
VII,34,ku-gould:15631,"Common Pheasant, Ring-necked Pheasant, faisan de chasse, Fais‡n de collar",Phasianus colchicus,Common pheasant
VII,35,ku-gould:15627,"Common Pheasant, Ring-necked Pheasant, faisan de chasse, Fais‡n de collar",Phasianus colchicus shawii,Phasianus shawi -- Shaw's pheasant
VII,36,ku-gould:15623,"Common Pheasant, Ring-necked Pheasant, faisan de chasse, Fais‡n de collar",Phasianus colchicus chrysomelas,Phasianus chrysomelas -- Oxus pheasant
VII,37,ku-gould:15619,Copper Pheasant,Syrmaticus soemmerringii,Phasianus soemmeringii -- Sommering's pheasant
VII,38,ku-gould:15615,Copper Pheasant,Syrmaticus soemmerringii scintillans,Phasianus scintillans -- Sparkling pheasant
VII,39,ku-gould:15611,"Common Pheasant, Ring-necked Pheasant, faisan de chasse, Fais‡n de collar",Phasianus colchicus torquatus,Phasianus torquatus -- Chinese ring-necked pheasant
VII,40,ku-gould:15607,Green Pheasant,Phasianus versicolor,Japanese pheasant
VII,41,ku-gould:15603,"Common Pheasant, Ring-necked Pheasant, faisan de chasse, Fais‡n de collar",Phasianus colchicus mongolicus,Phasianus mongolieus -- Mongolian pheasant
VII,42,ku-gould:15599,Blood Pheasant,Ithaginis cruentus geoffroyi,Ithaginis geoffroyi -- Geoffroy's francolin
VII,43,ku-gould:15595,Blood Pheasant,Ithaginis cruentus,Sanguine francolin
VII,44,ku-gould:15591,"Verreaux's Monal Partridge, Verreaux's Monal-Partridge",Tetraophasis obscurus,Mou-pin snow-partridge
VII,45,ku-gould:15587,"Western Tragopan, Western Tragopan Pheasant",Tragopan melanocephalus,Ceriornis melanocephala -- Western horned pheasant
VII,46,ku-gould:15583,Temminck's Tragopan,Tragopan temminckii,Ceriornis temmincki -- Temminck's horned pheasant
VII,47,ku-gould:15579,"Blyth's Tragopan, Blyth's Tragopan Pheasant",Tragopan blythii,Ceriornis blythi -- Blyth's horned pheasant
VII,48,ku-gould:15575,"Cabot's Tragopan, Cabot's Tragopan Pheasant",Tragopan caboti,Ceriornis caboti -- Dr. cabot's horned pheasant
VII,49,ku-gould:15571,Satyr Tragopan,Tragopan satyra,Ceriornis satyra -- Nipaulese horned pheasant
VII,50,ku-gould:15567,Grey Peacock-Pheasant,Polyplectron bicalcaratum,Polyplectron chinquis -- Assam peacock pheasant
VII,51,ku-gould:15563,Grey Peacock-Pheasant,Polyplectron bicalcaratum,Malayan peacock pheasant
VII,52,ku-gould:15559,Great Argus,Argusianus argus,Argus pheasant
VII,53,ku-gould:15555,Himalayan Monal,Lophophorus impejanus,Lophophorus impeyanus -- Monaul
VII,54,ku-gould:15551,Chinese Monal,Lophophorus lhuysii,Lophophorus l'huysi -- De l'huys's monaul
VII,55,ku-gould:15547,"Sclater's Monal, Sclater's Monal Pheasant",Lophophorus sclateri,Chalcophasis sclateri -- Sclater's monaul
VII,56,ku-gould:15543,Grey Junglefowl,Gallus sonneratii,Gallus sonnerati -- Sonnerat's jungle-fowl
VII,57,ku-gould:15539,Lesser florikin,Sypheotides indicus,Sypheotides auritus
VII,58,ku-gould:15535,Macqueen's Bustard,Chlamydotis macqueenii,Otis macqueeni
VII,59,ku-gould:15531,Painted Stork,Mycteria leucocephala,Tantalus leucocephalus -- Rosy tantalus
VII,60,ku-gould:15527,Eurasian Curlew,Numenius arquata,Numenius rufescens -- Rufescent curlew
VII,61,ku-gould:15523,Ibisbill,Ibidorhyncha struthersii,Ibidorhynchus struthersi -- Red-billed erolia
VII,62,ku-gould:15519,Egyptian Plover,Pluvianus a egyptius,Pluvianus aegyptius -- Zic-zac
VII,63,ku-gould:15515,"Glareola nordmanni Fischer, 1842","Glareola nordmanni Fischer, 1842",Glareola melanoptera -- Black-winged pratincole
VII,64,ku-gould:15511,Small Pratincole,Glareola lactea,Cinereous pratincole
VII,65,ku-gould:15507,Indian Courser,Cursorius coromandelicus,Cursorius coromandelieus
VII,66,ku-gould:15503,Lady Amherst's Pheasant,Chrysolophus amherstiae,Eurinorhynchus pygmaeus -- Spoon-billed sandpiper
VII,67,ku-gould:15499,White-breasted Waterhen,Amaurornis phoenicurus,Gallinula phoenicura -- White-breasted water-hen
VII,68,ku-gould:15495,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Hydrophasianus sinensis -- Chinese jacana
VII,69,ku-gould:15491,Mandarin Duck,Aix galericulata,
VII,70,ku-gould:15487,Black-bellied Tern,Sterna acuticauda,Sterna melanogaster
VII,71,ku-gould:15483,Spectacled Guillemot,Cepphus carbo,Uria carbo -- Kurile guillemot
