plate,ku_id,ku_english,ku_sci
379,ku-gould:9855,"Common Goldeneye, garrot à oeil d'or, Pato chillón",Bucephala clangula
380,ku-gould:9851,"Barrow's Goldeneye, garrot d'Islande",Bucephala islandica
381,ku-gould:9847,"Harlequin Duck, arlequin plongeur, Pato arlequín",Histrionicus histrionicus
382,ku-gould:9843,"Long-tailed Duck, Oldsquaw, harelde kakawi, Pato cola larga",Clangula hyemalis
383,ku-gould:9839,White-headed Duck,Oxyura leucocephala
384,ku-gould:9835,"Common Merganser, grand harle, Mergo mayor",Mergus merganser
385,ku-gould:9831,"Red-breasted Merganser, harle huppé, Mergo copetón,",Mergus serrator
386,ku-gould:9827,"Hooded Merganser, harle couronné, Mergo cresta blanca",Lophodytes cucullatus
387,ku-gould:9823,"Smew, harle piette",Mergellus albellus
388,ku-gould:9819,Great Crested Grebe,Podiceps cristatus
389,ku-gould:9815,"Red-necked Grebe, Grèbe jougris",Podiceps grisegena
390,ku-gould:9811,"Horned Grebe, Grèbe esclavon, Zambullidor cornudo",Podiceps auritus
391,ku-gould:9807,"Horned Grebe, Grèbe esclavon, Zambullidor cornudo",Podiceps auritus
392,ku-gould:9572,Little Grebe,Tachybaptus ruficollis
393,ku-gould:9800,"Common Loon, Great Northern Diver, Great Northern Loon, Plongeon huard, Colimbo mayor",Gavia immer
394,ku-gould:9796,"Arctic Loon, Black-throated Loon, Plongeon arctique",Gavia arctica
395,ku-gould:9792,"Plongeon catmarin, Red-throated Diver, Red-throated Loon, Colimbo menor",Gavia stellata
396,ku-gould:9788,"Common Murre, Arao común, Guillemot marmette",Uria aalge
397,ku-gould:9784,"Common Murre, Arao común, Guillemot marmette",Uria aalge
398,ku-gould:9780,"Thick-billed Murre, Guillemot de Brünnich",Uria lomvia
399,ku-gould:9776,"Black Guillemot, Guillemot à miroir",Cepphus grylle
400,ku-gould:9772,"Great Auk, Grand Pingouin,",Pinguinus impennis
401,ku-gould:9768,"Razorbill, Petit Pingouin",Alca torda
402,ku-gould:9764,"Dovekie, Little Auk, mergule main, Mergule nain",Alle alle
403,ku-gould:9760,"Atlantic Puffin, Macareux moine",Fratercula arctica
404,ku-gould:9756,"Atlantic Puffin, Macareux moine",Fratercula arctica
405,ku-gould:9752,Great White Pelican,Pelecanus onocrotalus
406,ku-gould:9748,Dalmatian Pelican,Pelecanus crispus
407,ku-gould:9744,"Grand Cormoran, Great Cormorant",Phalacrocorax carbo
408,ku-gould:9740,"Grand Cormoran, Great Cormorant",Phalacrocorax carbo
409,ku-gould:9736,Pygmy Cormorant,Microcarbo pygmeus
410,ku-gould:9732,European Shag,Phalacrocorax aristotelis
411,ku-gould:9728,European Shag,Phalacrocorax aristotelis desmarestii
412,ku-gould:9724,"Northern Gannet, Bobo norteño, Fou de Bassan",Morus bassanus
413,ku-gould:9720,"Northern Gannet, Bobo norteño, Fou de Bassan",Morus bassanus
414,ku-gould:9716,"Caspian Tern, Charrán caspia, Sterne caspienne",Hydroprogne caspia
415,ku-gould:9712,"Sandwich Tern, Charrán de Sandwich, Sterne caugek",Thalasseus sandvicensis
416,ku-gould:9708,"Gull-billed Tern, Charrán pico grueso,  Sterne hansel",Gelochelidon nilotica
417,ku-gould:9704,"Common Tern, Charrán común, Sterne pierregarin",Sterna hirundo
418,ku-gould:9700,"Roseate Tern, Charrán rosado, Sterne de Dougall",Sterna dougallii
419,ku-gould:9696,"Arctic Tern, Charrán ártico, Sterne arctique",Sterna paradisaea
420,ku-gould:9692,"Little Tern, Sterne naine",Sternula albifrons
421,ku-gould:9688,"Brown Noddy, Charrán-bobo café, Noddi brun",Anous stolidus
422,ku-gould:9684,"Black Tern, Charrán negro, Guifette noire",Chlidonias niger
423,ku-gould:9680,"White-winged Tern, Guifette leucoptèra",Chlidonias leucopterus
424,ku-gould:9676,"Whiskered Tern, Guifette moustac",Chlidonias hybrida
425,ku-gould:9672,"Black-headed Gull, Common Black-headed Gull, Gaviota encapuchada, Mouette rieuse",Chroicocephalus ridibundus
426,ku-gould:9668,"Laughing Gull, Gaviota reidora, Mouette atricille",Leucophaeus atricilla
427,ku-gould:9664,Mediterranean Gull,Ichthyaetus melanocephalus
428,ku-gould:9660,"Little Gull, Gaviota mínima, Mouette pygmée",Hydrocoloeus minutus
429,ku-gould:9656,"Sabine's Gull, Gaviota cola hendida, Mouette de Sabine",Xema sabini
430,ku-gould:9652,"Great Black-backed Gull, Goéland marin",Larus marinus
431,ku-gould:9648,"Lesser Black-backed Gull, Gaviota sombría, Goéland brun",Larus fuscus
432,ku-gould:9644,"Glaucous Gull, Gaviota blanca, Goéland bourgmestre",Larus hyperboreus
433,ku-gould:9640,"Iceland Gull, Goéland arctique",Larus glaucoides
434,ku-gould:9636,"European Herring Gull, Gaviota plateada, Goéland argenté, Herring Gull",Larus argentatus
435,ku-gould:9632,"Black-legged Kittiwake, Gaviota pata negra, Mouette tridactyle",Rissa tridactyla
436,ku-gould:9628,"Ivory Gull, Mouette blanche",Pagophila eburnea
437,ku-gould:9624,"Mew Gull, Gaviota cana, Goéland cendr",Larus canus
438,ku-gould:9620,Audouin's Gull,Ichthyaetus audouinii
439,ku-gould:9616,"Great Skua, Grand Labbe",Stercorarius skua
440,ku-gould:9612,"Pomarine Jaeger, Pomarine Skua, Labbe pomarin,  Salteador pomarino",Stercorarius pomarinus
441,ku-gould:9608,"Parasitic Jaeger, Labbe parasite, Salteador parásito",Stercorarius parasiticus
442,ku-gould:9604,"Parasitic Jaeger, Labbe parasite, Salteador parásito",Stercorarius parasiticus
443,ku-gould:9600,"Manx Shearwater, Puffin des Anglais",Puffinus puffinus
444,ku-gould:9596,"Little Shearwater, Petit Puffin",Puffinus assimilis
445,ku-gould:9592,"Great Shearwater, Greater Shearwater, Pardela mayor, Puffin majeur",Puffinus gravis
446,ku-gould:9588,"Northern Fulmar, Fulmar boréal, Fulmar norteño",Fulmarus glacialis
447,ku-gould:9584,"Leach's Storm Petrel, Leach's Storm-Petrel, Océanite cul-blanc, Paíño de Leach",Oceanodroma leucorhoa
449,ku-gould:9580,"Bulwer's Petrel, Pétrel de Bulwer",Bulweria bulwerii
