volume,plate,list_name,list_latin,caption_latin,bhl_barcode,bhl_item,leaf,bhl_page,orientation,rotate,scan_url,page_url,sheet_asset,crop_asset,notes
VI,64,Whistling Sand-Grouse,Pterocles exustus,PTEROCLES EXUSTUS:Temm:,BirdsAsiaJohnGoVIGoul,122488,264,39632273,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0264.jp2,https://www.biodiversitylibrary.org/page/39632273,sheet-BirdsAsiaJohnGoVIGoul-0264.jpg,crop-BirdsAsiaJohnGoVIGoul-0264.jpg,
VI,65,Banded Sand-Grouse,Pterocles fasciatus,PTEROCLES FASCIATUS.,BirdsAsiaJohnGoVIGoul,122488,268,39632277,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0268.jp2,https://www.biodiversitylibrary.org/page/39632277,sheet-BirdsAsiaJohnGoVIGoul-0268.jpg,crop-BirdsAsiaJohnGoVIGoul-0268.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VI,66,Georgian Black Grouse,Tetrao Mlokosiewiczi,TETRAO MLOKOSIEWICZI. Tacz.,BirdsAsiaJohnGoVIGoul,122488,272,39632281,portrait,0,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0272.jp2,https://www.biodiversitylibrary.org/page/39632281,sheet-BirdsAsiaJohnGoVIGoul-0272.jpg,crop-BirdsAsiaJohnGoVIGoul-0272.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VI,67,Ceylon Spur-Fowl,Galloperdix Zeylonicus,GALLOPERDIX ZEYLLONENSIS.,BirdsAsiaJohnGoVIGoul,122488,276,39632285,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0276.jp2,https://www.biodiversitylibrary.org/page/39632285,sheet-BirdsAsiaJohnGoVIGoul-0276.jpg,crop-BirdsAsiaJohnGoVIGoul-0276.jpg,
VI,68,Rufous Spur-Fowl,Galloperdix spadiceus,CALLLOPERDIX SPADICEUS.,BirdsAsiaJohnGoVIGoul,122488,280,39632289,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0280.jp2,https://www.biodiversitylibrary.org/page/39632289,sheet-BirdsAsiaJohnGoVIGoul-0280.jpg,crop-BirdsAsiaJohnGoVIGoul-0280.jpg,
VI,69,Painted Spur-Fowl,Galloperdix lunulosa,GALLOPERDIX LUNULOSA.,BirdsAsiaJohnGoVIGoul,122488,284,39632293,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0284.jp2,https://www.biodiversitylibrary.org/page/39632293,sheet-BirdsAsiaJohnGoVIGoul-0284.jpg,crop-BirdsAsiaJohnGoVIGoul-0284.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
VI,70,Crimson-breasted Partridge,Hematortyx sanguiniceps,"HÆMATORTYX SANGUINICEPS, Sharpe.",BirdsAsiaJohnGoVIGoul,122488,288,39632297,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0288.jp2,https://www.biodiversitylibrary.org/page/39632297,sheet-BirdsAsiaJohnGoVIGoul-0288.jpg,crop-BirdsAsiaJohnGoVIGoul-0288.jpg,
VI,71,Rufous-breasted Bamboo-Partridge,Bambusicola hyperythra,"BAMBUSICOLA HYPERYTHRA, Sharpe.",BirdsAsiaJohnGoVIGoul,122488,292,39632301,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0292.jp2,https://www.biodiversitylibrary.org/page/39632301,sheet-BirdsAsiaJohnGoVIGoul-0292.jpg,crop-BirdsAsiaJohnGoVIGoul-0292.jpg,
VI,72,Formosan Bamboo-Partridge,Bambusicola sonorivox,"BAMBUSICOLA SONORIVOX, Gould.",BirdsAsiaJohnGoVIGoul,122488,296,39632305,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0296.jp2,https://www.biodiversitylibrary.org/page/39632305,sheet-BirdsAsiaJohnGoVIGoul-0296.jpg,crop-BirdsAsiaJohnGoVIGoul-0296.jpg,
VI,73,Bearded Partridge,Perdix barbata,"PIERDIX BARBATA, J.Verr &O.DesMus.",BirdsAsiaJohnGoVIGoul,122488,300,39632309,landscape,270,https://bhl-open-data.s3.us-east-2.amazonaws.com/images/BirdsAsiaJohnGoVIGoul/BirdsAsiaJohnGoVIGoul_0300.jp2,https://www.biodiversitylibrary.org/page/39632309,sheet-BirdsAsiaJohnGoVIGoul-0300.jpg,crop-BirdsAsiaJohnGoVIGoul-0300.jpg,"not pinned in Featherframe: stood up and cut by the folio's rules, the crop not reviewed"
