plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
108,,Fox-coloured Sparrow,,Passerella iliaca,Fox Sparrow,foxspa,eBird/Clements 2025,Q422873,2491872,0B1B2EB673757787,Passerella iliaca_Fox Sparrow,,high,,Audubon's “Fox-coloured Sparrow” is today's Fox Sparrow,Featherframe havell.yaml; plate title from audubon.org
109,,Savannah Finch,,Passerculus sandwichensis,Savannah Sparrow,savspa,eBird/Clements 2025,Q287893,5231142,31CE00C71528322F,Passerculus sandwichensis_Savannah Sparrow,,high,,Audubon's “Savannah Finch” is today's Savannah Sparrow,Featherframe havell.yaml; plate title from audubon.org
110,,Hooded Warbler,,Setophaga citrina,Hooded Warbler,hoowar,eBird/Clements 2025,Q27075904,6093374,15EB30007E1908FD,Setophaga citrina_Hooded Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
111,,Pileated Woodpecker,,Dryocopus pileatus,Pileated Woodpecker,pilwoo,eBird/Clements 2025,Q930712,5228824,00635FF9DB14C765,Dryocopus pileatus_Pileated Woodpecker,,high,,,Featherframe havell.yaml; plate title from audubon.org
112,,Downy Woodpecker,,Dryobates pubescens,Downy Woodpecker,dowwoo,eBird/Clements 2025,Q27074911,9149595,1B2A6386D509137D,Dryobates pubescens_Downy Woodpecker,,high,,,Featherframe havell.yaml; plate title from audubon.org
113,,Blue-bird,,Sialia sialis,Eastern Bluebird,easblu,eBird/Clements 2025,Q600880,2490941,A8347C7DF99F44B5,Sialia sialis_Eastern Bluebird,,high,,Audubon's “Blue-bird” is today's Eastern Bluebird,Featherframe havell.yaml; plate title from audubon.org
114,,White-crowned Sparrow,,Zonotrichia leucophrys,White-crowned Sparrow,whcspa,eBird/Clements 2025,Q686673,5231132,8601A4678CABA542,Zonotrichia leucophrys_White-crowned Sparrow,,high,,,Featherframe havell.yaml; plate title from audubon.org
115,,Wood Pewee,,Contopus virens,Eastern Wood-Pewee,eawpew,eBird/Clements 2025,Q606809,5229734,9891BF73279CAB69,Contopus virens_Eastern Wood-Pewee,,high,,Audubon's “Wood Pewee” is today's Eastern Wood-Pewee,Featherframe havell.yaml; plate title from audubon.org
116,,Ferruginous Thrush,,Toxostoma rufum,Brown Thrasher,brnthr,eBird/Clements 2025,Q928134,5231694,C8F9F2D013E9D057,Toxostoma rufum_Brown Thrasher,,high,,Audubon's “Ferruginous Thrush” is today's Brown Thrasher,Featherframe havell.yaml; plate title from audubon.org
117,,Mississippi Kite,,Ictinia mississippiensis,Mississippi Kite,miskit,eBird/Clements 2025,Q1262840,2480719,ACFC8EB619367A2B,Ictinia mississippiensis_Mississippi Kite,,high,,,Featherframe havell.yaml; plate title from audubon.org
118,,Warbling Flycatcher,,Vireo gilvus,Eastern Warbling Vireo,eawvir1,eBird/Clements 2025,Q27621839,7191625,,Vireo gilvus_Warbling Vireo,,high,,Audubon's “Warbling Flycatcher” is today's Eastern Warbling Vireo,Featherframe havell.yaml; plate title from audubon.org
119,,Yellow-throated Vireo,,Vireo flavifrons,Yellow-throated Vireo,yetvir,eBird/Clements 2025,Q596518,2487453,F8DDF6A6429E64D0,Vireo flavifrons_Yellow-throated Vireo,,high,,,Featherframe havell.yaml; plate title from audubon.org
120,,Pewit Flycatcher,,Sayornis phoebe,Eastern Phoebe,easpho,eBird/Clements 2025,Q748192,2483606,62CA2AF81AF5B68D,Sayornis phoebe_Eastern Phoebe,,high,,Audubon's “Pewit Flycatcher” is today's Eastern Phoebe,Featherframe havell.yaml; plate title from audubon.org
121,,Snowy Owl,,Bubo scandiacus,Snowy Owl,snoowl1,eBird/Clements 2025,Q170177,5959143,5B23B360E7DEC4A9,Bubo scandiacus_Snowy Owl,,high,,,Featherframe havell.yaml; plate title from audubon.org
122,,Blue Grosbeak,,Passerina caerulea,Blue Grosbeak,blugrb1,eBird/Clements 2025,Q794337,5230862,A7A75EA1A9A57185,Passerina caerulea_Blue Grosbeak,,high,,,Featherframe havell.yaml; plate title from audubon.org
123,,Black & Yellow Warbler,,Setophaga magnolia,Magnolia Warbler,magwar,eBird/Clements 2025,Q27075915,6093209,1E82CE1ECC54F928,Setophaga magnolia_Magnolia Warbler,,high,,Audubon's “Black & Yellow Warbler” is today's Magnolia Warbler,Featherframe havell.yaml; plate title from audubon.org
124,,Green Black-capt Flycatcher,,Cardellina pusilla,Wilson's Warbler,wlswar,eBird/Clements 2025,Q27076007,7341606,1F09CCCCBD97B861,Cardellina pusilla_Wilson's Warbler,,high,,Audubon's “Green Black-capt Flycatcher” is today's Wilson's Warbler,Featherframe havell.yaml; plate title from audubon.org
125,,Brown-headed Nuthatch,,Sitta pusilla,Brown-headed Nuthatch,bnhnut,eBird/Clements 2025,Q790651,2484904,85729C75FED7B59E,Sitta pusilla_Brown-headed Nuthatch,,high,,,Featherframe havell.yaml; plate title from audubon.org
126,,White-headed Eagle,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
127,,Rose-breasted Grosbeak,,Pheucticus ludovicianus,Rose-breasted Grosbeak,robgro,eBird/Clements 2025,Q839834,2490494,7C2FCB13BAA660EE,Pheucticus ludovicianus_Rose-breasted Grosbeak,,high,,,Featherframe havell.yaml; plate title from audubon.org
128,,Cat Bird,,Dumetella carolinensis,Gray Catbird,grycat,eBird/Clements 2025,Q831597,2494936,95B77F083F49835F,Dumetella carolinensis_Gray Catbird,,high,,Audubon's “Cat Bird” is today's Gray Catbird,Featherframe havell.yaml; plate title from audubon.org
129,,Great Crested Flycatcher,,Myiarchus crinitus,Great Crested Flycatcher,grcfly,eBird/Clements 2025,Q1052057,2483597,8D6D5F2BEA07A0CF,Myiarchus crinitus_Great Crested Flycatcher,,high,,,Featherframe havell.yaml; plate title from audubon.org
130,,Yellow-winged Sparrow,,Ammodramus savannarum,Grasshopper Sparrow,graspa,eBird/Clements 2025,Q1588210,2491123,5BFFE091FBA75EA2,Ammodramus savannarum_Grasshopper Sparrow,,high,,Audubon's “Yellow-winged Sparrow” is today's Grasshopper Sparrow,Featherframe havell.yaml; plate title from audubon.org
131,,American Robin,,Turdus migratorius,American Robin,amerob,eBird/Clements 2025,Q460967,9510564,D77E4B418D581FB2,Turdus migratorius_American Robin,,high,,,Featherframe havell.yaml; plate title from audubon.org
132,,Three-toed Woodpecker,,Picoides dorsalis,American Three-toed Woodpecker,attwoo1,eBird/Clements 2025,Q1273082,2477797,6D2680D04CEB17B9,Picoides dorsalis_American Three-toed Woodpecker,,high,,Audubon's “Three-toed Woodpecker” is today's American Three-toed Woodpecker,Featherframe havell.yaml; plate title from audubon.org
133,,Black-poll Warbler,,Setophaga striata,Blackpoll Warbler,bkpwar,eBird/Clements 2025,Q27075924,6092935,544A5E6BC69CEAAC,Setophaga striata_Blackpoll Warbler,,high,,Audubon's “Black-poll Warbler” is today's Blackpoll Warbler,Featherframe havell.yaml; plate title from audubon.org
134,,Hemlock Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
135,,Blackburnian Warbler,,Setophaga fusca,Blackburnian Warbler,bkbwar,eBird/Clements 2025,Q27075919,6093199,4168AF09C7BCB40B,Setophaga fusca_Blackburnian Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
136,,Meadow Lark,,Sturnella magna,Eastern Meadowlark,easmea,eBird/Clements 2025,Q1589550,2484254,4A11480B216EBB80,Sturnella magna_Eastern Meadowlark,,high,,Audubon's “Meadow Lark” is today's Eastern Meadowlark,Featherframe havell.yaml; plate title from audubon.org
137,,Yellow-breasted Chat,,Icteria virens,Yellow-breasted Chat,yebcha,eBird/Clements 2025,Q787047,2489989,734C73A933F3108B,Icteria virens_Yellow-breasted Chat,,high,,,Featherframe havell.yaml; plate title from audubon.org
138,,Connecticut Warbler,,Oporornis agilis,Connecticut Warbler,conwar,eBird/Clements 2025,Q760374,2489611,0B23929DF27B0963,Oporornis agilis_Connecticut Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
139,,Field Sparrow,,Spizella pusilla,Field Sparrow,fiespa,eBird/Clements 2025,Q611926,2492096,E23F6DE0B4829658,Spizella pusilla_Field Sparrow,,high,,,Featherframe havell.yaml; plate title from audubon.org
140,,Pine Creeping Warbler,,Setophaga pinus,Pine Warbler,pinwar,eBird/Clements 2025,Q27075932,7341816,6283E61EEF174882,Setophaga pinus_Pine Warbler,,high,,Audubon's “Pine Creeping Warbler” is today's Pine Warbler,Featherframe havell.yaml; plate title from audubon.org
141,,Goshawk and Stanley Hawk,,Astur atricapillus,American Goshawk,norgos,eBird/Clements 2025,,,,Accipiter gentilis_Northern Goshawk,,high,,Audubon's “Goshawk and Stanley Hawk” is today's American Goshawk; BirdNET's Northern Goshawk is split by eBird into American and Eurasian Goshawk,Featherframe havell.yaml; plate title from audubon.org
142,,American Sparrow Hawk,,Falco sparverius,American Kestrel,amekes,eBird/Clements 2025,Q651545,2481022,20C2214E655A79AB,Falco sparverius_American Kestrel,,high,,Audubon's “American Sparrow Hawk” is today's American Kestrel,Featherframe havell.yaml; plate title from audubon.org
143,,Golden-crowned Thrush,,Seiurus aurocapilla,Ovenbird,ovenbi1,eBird/Clements 2025,Q796672,2489590,CEA5B6AA48218C8A,Seiurus aurocapilla_Ovenbird,,high,,Audubon's “Golden-crowned Thrush” is today's Ovenbird,Featherframe havell.yaml; plate title from audubon.org
144,,Small Green Crested Flycatcher,,Empidonax virescens,Acadian Flycatcher,acafly,eBird/Clements 2025,Q252175,2482802,2778A3F42BBFEBD5,Empidonax virescens_Acadian Flycatcher,,high,,Audubon's “Small Green Crested Flycatcher” is today's Acadian Flycatcher,Featherframe havell.yaml; plate title from audubon.org
145,,Yellow Red-poll Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
146,,Fish Crow,,Corvus ossifragus,Fish Crow,fiscro,eBird/Clements 2025,Q1420315,2482481,43E56D2CAA66A6CA,Corvus ossifragus_Fish Crow,,high,,,Featherframe havell.yaml; plate title from audubon.org
147,,Night Hawk,,Chordeiles minor,Common Nighthawk,comnig,eBird/Clements 2025,Q943329,2497035,24E39ACD5692DA4A,Chordeiles minor_Common Nighthawk,,high,,Audubon's “Night Hawk” is today's Common Nighthawk,Featherframe havell.yaml; plate title from audubon.org
148,,Pine Swamp Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
149,,Sharp-tailed Finch,,Ammospiza caudacuta,Saltmarsh Sparrow,sstspa,eBird/Clements 2025,Q28812394,2491087,79C9C8C455E6936B,Ammospiza caudacuta_Saltmarsh Sparrow,,high,,Audubon's “Sharp-tailed Finch” is today's Saltmarsh Sparrow,Featherframe havell.yaml; plate title from audubon.org
150,,Red-eyed Vireo,,Vireo olivaceus,Red-eyed Vireo,reevir1,eBird/Clements 2025,Q22113242,7341237,,Vireo olivaceus_Red-eyed Vireo,,high,,,Featherframe havell.yaml; plate title from audubon.org
151,,Turkey Buzzard,,Cathartes aura,Turkey Vulture,turvul,eBird/Clements 2025,Q245181,2481930,36B3872DAFE1EC1C,Cathartes aura_Turkey Vulture,,high,,Audubon's “Turkey Buzzard” is today's Turkey Vulture,Featherframe havell.yaml; plate title from audubon.org
152,,White-breasted Black-capped Nuthatch,,Sitta carolinensis,White-breasted Nuthatch,whbnut,eBird/Clements 2025,Q379240,2484892,19CCBBD220E533AD,Sitta carolinensis_White-breasted Nuthatch,,high,,Audubon's “White-breasted Black-capped Nuthatch” is today's White-breasted Nuthatch,Featherframe havell.yaml; plate title from audubon.org
153,,Yellow-crown Warbler,,Setophaga coronata,Yellow-rumped Warbler,yerwar,eBird/Clements 2025,Q18390024,7341805,BC5A949807108302,Setophaga coronata_Yellow-rumped Warbler,,high,,Audubon's “Yellow-crown Warbler” is today's Yellow-rumped Warbler,Featherframe havell.yaml; plate title from audubon.org
154,,Tennessee Warbler,,Leiothlypis peregrina,Tennessee Warbler,tenwar,eBird/Clements 2025,,,D204A9309E8CCC3A,Leiothlypis peregrina_Tennessee Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
155,,Black-throated Blue Warbler,,Setophaga caerulescens,Black-throated Blue Warbler,btbwar,eBird/Clements 2025,Q27075926,7341828,67B455A71B1C2506,Setophaga caerulescens_Black-throated Blue Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
156,,American Crow,,Corvus brachyrhynchos,American Crow,amecro,eBird/Clements 2025,Q267735,2482507,9E9F24769B6ACBE3,Corvus brachyrhynchos_American Crow,,high,,,Featherframe havell.yaml; plate title from audubon.org
157,,Rusty Grakle,,Euphagus carolinus,Rusty Blackbird,rusbla,eBird/Clements 2025,Q1314688,2484184,5F77FED530C9B69D,Euphagus carolinus_Rusty Blackbird,,high,,Audubon's “Rusty Grakle” is today's Rusty Blackbird,Featherframe havell.yaml; plate title from audubon.org
158,,American Swift,,Chaetura pelagica,Chimney Swift,chiswi,eBird/Clements 2025,Q912863,4409023,C3AD1AFF63D26461,Chaetura pelagica_Chimney Swift,,high,,Audubon's “American Swift” is today's Chimney Swift,Featherframe havell.yaml; plate title from audubon.org
159,,Cardinal Grosbeak,,Cardinalis cardinalis,Northern Cardinal,norcar,eBird/Clements 2025,Q726389,2490384,4E74AE2276258520,Cardinalis cardinalis_Northern Cardinal,,high,,Audubon's “Cardinal Grosbeak” is today's Northern Cardinal,Featherframe havell.yaml; plate title from audubon.org
160,,Carolina Titmouse,,Poecile carolinensis,Carolina Chickadee,carchi,eBird/Clements 2025,Q1079441,2487844,F941AAD38D7BA54D,Poecile carolinensis_Carolina Chickadee,,high,,Audubon's “Carolina Titmouse” is today's Carolina Chickadee,Featherframe havell.yaml; plate title from audubon.org
161,,Brasilian Caracara Eagle,,Caracara plancus,Crested Caracara,y00678,eBird/Clements 2025,Q755119,2480989,CFED276FD6D14015,Caracara plancus_Crested Caracara,,high,,Audubon's “Brasilian Caracara Eagle” is today's Crested Caracara,Featherframe havell.yaml; plate title from audubon.org
162,,Zenaida Dove,,Zenaida aurita,Zenaida Dove,zendov,eBird/Clements 2025,Q968434,2495353,85BD24D1E63A7EF0,Zenaida aurita_Zenaida Dove,,high,,,Featherframe havell.yaml; plate title from audubon.org
163,,Palm Warbler,,Setophaga palmarum,Palm Warbler,palwar,eBird/Clements 2025,Q27075928,7341822,4AAEF54973E5453C,Setophaga palmarum_Palm Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
164,,Tawny Thrush,,,,,,,,,,,none,,"Tawny Thrush: traditionally the Veery, disputed (Halley 2018)",
165,,Bachmans Finch,,Peucaea aestivalis,Bachman's Sparrow,bacspa,eBird/Clements 2025,Q2229917,7341544,DAD22BB68CF2206A,Peucaea aestivalis_Bachman's Sparrow,,high,,Audubon's “Bachmans Finch” is today's Bachman's Sparrow,Featherframe havell.yaml; plate title from audubon.org
166,,Rough-legged Falcon,,Buteo lagopus,Rough-legged Hawk,rolhaw,eBird/Clements 2025,Q26407,2480524,90B13ACF984D0DDF,Buteo lagopus_Rough-legged Hawk,,high,,Audubon's “Rough-legged Falcon” is today's Rough-legged Hawk,Featherframe havell.yaml; plate title from audubon.org
167,,Key-west Dove,,Geotrygon chrysia,Key West Quail-Dove,kwqdov,eBird/Clements 2025,Q521438,2496120,913CBCDFE3845B25,Geotrygon chrysia_Key West Quail-Dove,,high,,Audubon's “Key-west Dove” is today's Key West Quail-Dove,Featherframe havell.yaml; plate title from audubon.org
168,,Fork-tailed Flycatcher,,Tyrannus savana,Fork-tailed Flycatcher,fotfly,eBird/Clements 2025,Q1078611,5229693,A2510EF44C67DD52,Tyrannus savana_Fork-tailed Flycatcher,,high,,,Featherframe havell.yaml; plate title from audubon.org
169,,Mangrove Cuckoo,,Coccyzus minor,Mangrove Cuckoo,mancuc,eBird/Clements 2025,Q18923,2496294,84F096F742884C1B,Coccyzus minor_Mangrove Cuckoo,,high,,,Featherframe havell.yaml; plate title from audubon.org
170,,Gray Tyrant,,Tyrannus dominicensis,Gray Kingbird,grykin,eBird/Clements 2025,Q945200,5229678,F5388B5EF2C0D783,Tyrannus dominicensis_Gray Kingbird,,high,,Audubon's “Gray Tyrant” is today's Gray Kingbird,Featherframe havell.yaml; plate title from audubon.org
171,,Barn Owl,,Tyto furcata,American Barn Owl,brnowl,eBird/Clements 2025,Q25317,2497921,CFD6F275,Tyto alba_Barn Owl,,high,,Audubon's “Barn Owl” is today's American Barn Owl; eBird splits Barn Owl; the binomial stays with Western Barn Owl,Featherframe havell.yaml; plate title from audubon.org
172,,Blue-headed Pigeon,,Starnoenas cyanocephala,Blue-headed Quail-Dove,bhqdov1,eBird/Clements 2025,Q649940,2496135,F117ED15BD9FD81A,,,high,,Audubon's “Blue-headed Pigeon” is today's Blue-headed Quail-Dove,Featherframe havell.yaml; plate title from audubon.org
173,,Barn Swallow,,Hirundo rustica,Barn Swallow,barswa,eBird/Clements 2025,Q25429,9515886,58C502EA7AF3E023,Hirundo rustica_Barn Swallow,,high,,,Featherframe havell.yaml; plate title from audubon.org
174,,Olive sided Flycatcher,,Contopus cooperi,Olive-sided Flycatcher,olsfly,eBird/Clements 2025,Q580893,5229743,951C150C10C1B0BA,Contopus cooperi_Olive-sided Flycatcher,,high,,Audubon's “Olive sided Flycatcher” is today's Olive-sided Flycatcher,Featherframe havell.yaml; plate title from audubon.org
175,,Nuttall's lesser-marsh Wren,,Cistothorus stellaris,Sedge Wren,sedwre1,eBird/Clements 2025,,,43D33E0370ECC15B,Cistothorus stellaris_Sedge Wren,,high,,Audubon's “Nuttall's lesser-marsh Wren” is today's Sedge Wren,Featherframe havell.yaml; plate title from audubon.org
176,,Spotted Grous,,Canachites canadensis,Spruce Grouse,sprgro,eBird/Clements 2025,Q19056,2473492,4BCA4FFF85E6B1E2,Canachites canadensis_Spruce Grouse,,high,,Audubon's “Spotted Grous” is today's Spruce Grouse,Featherframe havell.yaml; plate title from audubon.org
177,,White-crowned Pigeon,,Patagioenas leucocephala,White-crowned Pigeon,whcpig2,eBird/Clements 2025,Q1269998,2495310,5F571C8A089382FB,Patagioenas leucocephala_White-crowned Pigeon,,high,,,Featherframe havell.yaml; plate title from audubon.org
178,,Orange-crowned Warbler,,Leiothlypis celata,Orange-crowned Warbler,orcwar,eBird/Clements 2025,Q27075888,8169649,FFF6108042E63910,Leiothlypis celata_Orange-crowned Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
179,,Wood Wren,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
180,,Pine Finch,,Spinus pinus,Pine Siskin,pinsis,eBird/Clements 2025,Q26847063,5231635,B48335B1DF4EF710,Spinus pinus_Pine Siskin,,high,,Audubon's “Pine Finch” is today's Pine Siskin,Featherframe havell.yaml; plate title from audubon.org
181,,Goldon Eagle,,Aquila chrysaetos,Golden Eagle,goleag,eBird/Clements 2025,Q41181,2480506,5F8E7CA845BD413F,Aquila chrysaetos_Golden Eagle,,high,,Audubon's “Goldon Eagle” is today's Golden Eagle,Featherframe havell.yaml; plate title from audubon.org
182,,Ground Dove,,Columbina passerina,Common Ground Dove,cogdov,eBird/Clements 2025,Q510766,2495869,F9AED5486FD85258,Columbina passerina_Common Ground Dove,,high,,Audubon's “Ground Dove” is today's Common Ground Dove,Featherframe havell.yaml; plate title from audubon.org
183,,American Golden crested-Wren,,Regulus satrapa,Golden-crowned Kinglet,gockin,eBird/Clements 2025,Q1063246,2484591,154BCCAE37AE70E9,Regulus satrapa_Golden-crowned Kinglet,,high,,Audubon's “American Golden crested-Wren” is today's Golden-crowned Kinglet,Featherframe havell.yaml; plate title from audubon.org
184,,Mango Hummingbird,,,,,,,,,,,none,,Mangrove Humming Bird: disputed,
185,,Bachman's Warbler,,Vermivora bachmanii,Bachman's Warbler,bacwar,eBird/Clements 2025,Q375157,5230816,207491AE88C23BE8,,,high,,,Featherframe havell.yaml; plate title from audubon.org
186,,Pinnated Grous,,Tympanuchus cupido,Greater Prairie-Chicken,grpchi,eBird/Clements 2025,Q19630,2473510,F59448B7465F5CB5,Tympanuchus cupido_Greater Prairie-Chicken,,high,,Audubon's “Pinnated Grous” is today's Greater Prairie-Chicken,Featherframe havell.yaml; plate title from audubon.org
187,,Boat-tailed Grackle,,Quiscalus major,Boat-tailed Grackle,botgra,eBird/Clements 2025,Q1589368,2484133,EF47E15D002D3191,Quiscalus major_Boat-tailed Grackle,,high,,,Featherframe havell.yaml; plate title from audubon.org
188,,Tree Sparrow,,Spizelloides arborea,American Tree Sparrow,amtspa,eBird/Clements 2025,Q27076037,7357320,,Spizelloides arborea_American Tree Sparrow,,high,,Audubon's “Tree Sparrow” is today's American Tree Sparrow,Featherframe havell.yaml; plate title from audubon.org
189,,Snow Bunting,,Plectrophenax nivalis,Snow Bunting,snobun,eBird/Clements 2025,Q26416,2491719,9BEBC02505B416EE,Plectrophenax nivalis_Snow Bunting,,high,,,Featherframe havell.yaml; plate title from audubon.org
190,,Yellow bellied Woodpecker,,Sphyrapicus varius,Yellow-bellied Sapsucker,yebsap,eBird/Clements 2025,Q934735,2478605,9BE68BD390E0D2FF,Sphyrapicus varius_Yellow-bellied Sapsucker,,high,,Audubon's “Yellow bellied Woodpecker” is today's Yellow-bellied Sapsucker,Featherframe havell.yaml; plate title from audubon.org
191,,Willow Grous or Large Ptarmigan,,Lagopus lagopus,Willow Ptarmigan,wilpta,eBird/Clements 2025,Q178702,2473421,FC3D07C64FF2C915,Lagopus lagopus_Willow Ptarmigan,,high,,Audubon's “Willow Grous or Large Ptarmigan” is today's Willow Ptarmigan,Featherframe havell.yaml; plate title from audubon.org
192,,Great American Shrike or Butcher Bird,,Lanius borealis,Northern Shrike,norshr4,eBird/Clements 2025,Q31874734,7690702,,Lanius borealis_Northern Shrike,,high,,Audubon's “Great American Shrike or Butcher Bird” is today's Northern Shrike,Featherframe havell.yaml; plate title from audubon.org
193,,Lincoln Finch,,Melospiza lincolnii,Lincoln's Sparrow,linspa,eBird/Clements 2025,Q692323,2492192,AF49F8903B6DC7A5,Melospiza lincolnii_Lincoln's Sparrow,,high,,Audubon's “Lincoln Finch” is today's Lincoln's Sparrow,Featherframe havell.yaml; plate title from audubon.org
194,,Canadian Titmouse,,Poecile hudsonicus,Boreal Chickadee,borchi2,eBird/Clements 2025,Q385343,2487793,68887DE7576B711C,Poecile hudsonicus_Boreal Chickadee,,high,,Audubon's “Canadian Titmouse” is today's Boreal Chickadee,Featherframe havell.yaml; plate title from audubon.org
195,,Ruby crowned Wren,,Corthylio calendula,Ruby-crowned Kinglet,ruckin,eBird/Clements 2025,Q576050,2484597,B60B1166CE5DDFA7,Corthylio calendula_Ruby-crowned Kinglet,,high,,Audubon's “Ruby crowned Wren” is today's Ruby-crowned Kinglet,Featherframe havell.yaml; plate title from audubon.org
196,,Labrador Falcon,,Falco rusticolus,Gyrfalcon,gyrfal,eBird/Clements 2025,Q177688,8069880,E19252A76FC7845B,Falco rusticolus_Gyrfalcon,,high,,Audubon's “Labrador Falcon” is today's Gyrfalcon,Featherframe havell.yaml; plate title from audubon.org
197,,American Crossbill,,Loxia curvirostra,Red Crossbill,redcro,eBird/Clements 2025,Q26552,9629160,135564AAF6B01DA2,Loxia curvirostra_Red Crossbill,,high,,Audubon's “American Crossbill” is today's Red Crossbill,Featherframe havell.yaml; plate title from audubon.org
198,,Brown headed Worm eating Warbler,,Limnothlypis swainsonii,Swainson's Warbler,swawar,eBird/Clements 2025,Q783095,2489636,D3624203E6C65D28,Limnothlypis swainsonii_Swainson's Warbler,,high,,Audubon's “Brown headed Worm eating Warbler” is today's Swainson's Warbler,Featherframe havell.yaml; plate title from audubon.org
199,,Little Owl,,Aegolius acadicus,Northern Saw-whet Owl,nswowl,eBird/Clements 2025,Q638019,5232207,26BA25EFD0F06DF7,Aegolius acadicus_Northern Saw-whet Owl,,high,,Audubon's “Little Owl” is today's Northern Saw-whet Owl,Featherframe havell.yaml; plate title from audubon.org
200,,Shore Lark,,Eremophila alpestris,Horned Lark,horlar,eBird/Clements 2025,Q207249,9415596,77AFF9B86BC9FEE3,Eremophila alpestris_Horned Lark,,high,,Audubon's “Shore Lark” is today's Horned Lark,Featherframe havell.yaml; plate title from audubon.org
201,,Canada Goose,,Branta canadensis,Canada Goose,cangoo,eBird/Clements 2025,Q26733,5232437,B59E18633E2EFD25,Branta canadensis_Canada Goose,,high,,,Featherframe havell.yaml; plate title from audubon.org
202,,Red-Throated Diver,,Gavia stellata,Red-throated Loon,retloo,eBird/Clements 2025,Q26691,2481958,6C50988A5445ED76,Gavia stellata_Red-throated Loon,,high,,Audubon's “Red-Throated Diver” is today's Red-throated Loon,Featherframe havell.yaml; plate title from audubon.org
203,,Fresh Water Marsh Hen,,Rallus elegans,King Rail,kinrai4,eBird/Clements 2025,Q1265381,2474797,0BB84341D8AE9B6E,Rallus elegans_King Rail,,high,,Audubon's “Fresh Water Marsh Hen” is today's King Rail,Featherframe havell.yaml; plate title from audubon.org
204,,Salt Water Marsh Hen,,Rallus crepitans,Clapper Rail,clarai11,eBird/Clements 2025,Q26235798,7751637,E893F98D6F17B578,Rallus crepitans_Clapper Rail,,high,,Audubon's “Salt Water Marsh Hen” is today's Clapper Rail,Featherframe havell.yaml; plate title from audubon.org
205,,Virginia Rail,,Rallus limicola,Virginia Rail,virrai,eBird/Clements 2025,Q747837,2474825,87705CC47B47F3FD,Rallus limicola_Virginia Rail,,high,,,Featherframe havell.yaml; plate title from audubon.org
206,,"Summer, or Wood Duck",,Aix sponsa,Wood Duck,wooduc,eBird/Clements 2025,Q322159,2498387,27B2749A88E3E2C8,Aix sponsa_Wood Duck,,high,,"Audubon's “Summer, or Wood Duck” is today's Wood Duck",Featherframe havell.yaml; plate title from audubon.org
207,,Booby Gannet,,Sula leucogaster,Brown Booby,brnboo,eBird/Clements 2025,Q320193,2480975,5EC21767FC58DB7D,Sula leucogaster_Brown Booby,,high,,Audubon's “Booby Gannet” is today's Brown Booby,Featherframe havell.yaml; plate title from audubon.org
208,,Esquimaux Curlew,,Numenius borealis,Eskimo Curlew,eskcur,eBird/Clements 2025,Q61857,2481783,FB9305DB788ED649,,,high,,Audubon's “Esquimaux Curlew” is today's Eskimo Curlew,Featherframe havell.yaml; plate title from audubon.org
209,,Wilson's Plover,,Anarhynchus wilsonia,Wilson's Plover,wilplo,eBird/Clements 2025,Q979488,2480302,654D660CF51DB8B1,Charadrius wilsonia_Wilson's Plover,,high,,,Featherframe havell.yaml; plate title from audubon.org
210,,Least Bittern,,Botaurus exilis,Least Bittern,leabit,eBird/Clements 2025,Q469586,2480852,0B361ED83051417E,Ixobrychus exilis_Least Bittern,,high,,,Featherframe havell.yaml; plate title from audubon.org
211,,Great blue Heron,,Ardea herodias,Great Blue Heron,grbher3,eBird/Clements 2025,Q333796,9630752,93694BB5492F7012,Ardea herodias_Great Blue Heron,,high,,Audubon's “Great blue Heron” is today's Great Blue Heron,Featherframe havell.yaml; plate title from audubon.org
212,,Common American Gull,,Larus delawarensis,Ring-billed Gull,ribgul,eBird/Clements 2025,Q754885,2481134,23863F65441680FA,Larus delawarensis_Ring-billed Gull,,high,,Audubon's “Common American Gull” is today's Ring-billed Gull,Featherframe havell.yaml; plate title from audubon.org
213,,Puffin,,Fratercula arctica,Atlantic Puffin,atlpuf,eBird/Clements 2025,Q26685,2481353,2771624B64AD7F2C,Fratercula arctica_Atlantic Puffin,,high,,Audubon's “Puffin” is today's Atlantic Puffin,Featherframe havell.yaml; plate title from audubon.org
