plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
27,,Red headed Woodpecker,,Melanerpes erythrocephalus,Red-headed Woodpecker,rehwoo,eBird/Clements 2025,Q578174,2478130,448D91B74CBC772E,Melanerpes erythrocephalus_Red-headed Woodpecker,,high,,Audubon's “Red headed Woodpecker” is today's Red-headed Woodpecker,Featherframe havell.yaml; plate title from audubon.org
28,,Vireo Solitarius,,Vireo solitarius,Blue-headed Vireo,buhvir,eBird/Clements 2025,Q1586476,2487456,95DB0943652956D1,Vireo solitarius_Blue-headed Vireo,,high,,Audubon's “Vireo Solitarius” is today's Blue-headed Vireo,Featherframe havell.yaml; plate title from audubon.org
29,,Towee Bunting,,Pipilo erythrophthalmus,Eastern Towhee,eastow,eBird/Clements 2025,Q1541137,2491205,6090278A61F63C13,Pipilo erythrophthalmus_Eastern Towhee,,high,,Audubon's “Towee Bunting” is today's Eastern Towhee,Featherframe havell.yaml; plate title from audubon.org
30,,Vigors Vireo,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
31,,White-headed Eagle,,Haliaeetus leucocephalus,Bald Eagle,baleag,eBird/Clements 2025,Q127216,2480446,FED3756C12CF67FA,Haliaeetus leucocephalus_Bald Eagle,,high,,Audubon's “White-headed Eagle” is today's Bald Eagle,Featherframe havell.yaml; plate title from audubon.org
32,,Black-billed Cuckoo,,Coccyzus erythropthalmus,Black-billed Cuckoo,bkbcuc,eBird/Clements 2025,Q19027,2496286,41E9F54BDA04ACBA,Coccyzus erythropthalmus_Black-billed Cuckoo,,high,,,Featherframe havell.yaml; plate title from audubon.org
33,,American Goldfinch,,Spinus tristis,American Goldfinch,amegfi,eBird/Clements 2025,Q27075861,5231640,C9ABA616B963B563,Spinus tristis_American Goldfinch,,high,,,Featherframe havell.yaml; plate title from audubon.org
34,,Worm eating Warbler,,Helmitheros vermivorum,Worm-eating Warbler,woewar1,eBird/Clements 2025,Q269463,2489603,295C4CD62A12ADEF,Helmitheros vermivorum_Worm-eating Warbler,,high,,Audubon's “Worm eating Warbler” is today's Worm-eating Warbler,Featherframe havell.yaml; plate title from audubon.org
35,,Children's Warbler,,,,,,,,,,,none,,"not identified here yet: Featherframe pins one plate per species, and this is likely a second plate of one",
36,,Stanley Hawk,,Astur cooperii,Cooper's Hawk,coohaw,eBird/Clements 2025,Q862896,2480621,EB98812F50A648A1,Accipiter cooperii_Cooper's Hawk,,high,,Audubon's “Stanley Hawk” is today's Cooper's Hawk,Featherframe havell.yaml; plate title from audubon.org
37,,Golden-winged Woodpecker,,Colaptes auratus,Northern Flicker,norfli,eBird/Clements 2025,Q16819,2478259,756009696D15E8A0,Colaptes auratus_Northern Flicker,,high,,Audubon's “Golden-winged Woodpecker” is today's Northern Flicker,Featherframe havell.yaml; plate title from audubon.org
38,,Kentucky Warbler,,Geothlypis formosa,Kentucky Warbler,kenwar,eBird/Clements 2025,Q27075899,6093586,8C105C3C647C7E36,Geothlypis formosa_Kentucky Warbler,,high,,,Featherframe havell.yaml; plate title from audubon.org
39,,Crested Titmouse,,Baeolophus bicolor,Tufted Titmouse,tuftit,eBird/Clements 2025,Q738534,2487887,B488AB7003F21AE7,Baeolophus bicolor_Tufted Titmouse,,high,,Audubon's “Crested Titmouse” is today's Tufted Titmouse,Featherframe havell.yaml; plate title from audubon.org
40,,American Redstart,,Setophaga ruticilla,American Redstart,amered,eBird/Clements 2025,Q922772,2489985,BED38F505F0B8509,Setophaga ruticilla_American Redstart,,high,,,Featherframe havell.yaml; plate title from audubon.org
41,,Ruffed Grouse,,Bonasa umbellus,Ruffed Grouse,rufgro,eBird/Clements 2025,Q19058,2473702,6D2B5CDA60316986,Bonasa umbellus_Ruffed Grouse,,high,,,Featherframe havell.yaml; plate title from audubon.org
42,,Orchard Oriole,,Icterus spurius,Orchard Oriole,orcori,eBird/Clements 2025,Q1586976,5229935,000482C9FC0553CD,Icterus spurius_Orchard Oriole,,high,,,Featherframe havell.yaml; plate title from audubon.org
43,,Cedar Bird,,Bombycilla cedrorum,Cedar Waxwing,cedwax,eBird/Clements 2025,Q184314,2484609,9437D635FF4E2607,Bombycilla cedrorum_Cedar Waxwing,,high,,Audubon's “Cedar Bird” is today's Cedar Waxwing,Featherframe havell.yaml; plate title from audubon.org
44,,Summer Red Bird,,Piranga rubra,Summer Tanager,sumtan,eBird/Clements 2025,Q1078246,2488485,891798D9EFFE1F8D,Piranga rubra_Summer Tanager,,high,,Audubon's “Summer Red Bird” is today's Summer Tanager,Featherframe havell.yaml; plate title from audubon.org
45,,Traill's Flycatcher,,Empidonax alnorum,Alder Flycatcher,aldfly,eBird/Clements 2025,Q681933,2482809,338088120A17D3EA,Empidonax alnorum_Alder Flycatcher,,high,,Audubon's “Traill's Flycatcher” is today's Alder Flycatcher,Featherframe havell.yaml; plate title from audubon.org
45,,Traill's Flycatcher,,Empidonax traillii,Willow Flycatcher,wilfly,eBird/Clements 2025,Q903847,2482786,5BC4E0EFAB129B9D,Empidonax traillii_Willow Flycatcher,,high,,Audubon's “Traill's Flycatcher” is today's Willow Flycatcher,Featherframe havell.yaml; plate title from audubon.org
46,,Barred Owl,,Strix varia,Barred Owl,brdowl,eBird/Clements 2025,Q630457,2497541,BDBB04D55A6762C8,Strix varia_Barred Owl,,high,,,Featherframe havell.yaml; plate title from audubon.org
