plate,title,legend,image_url,notes
41,Ruffed Grouse,"Male, 1 & 2. F. 3. | Vulgo. Pheasant.",https://www.audubon.org/sites/default/files/boa_plates/plate-41-ruffed-grouse.jpg,
42,Orchard Oriole,"Male 1. 2. adult. 3 & 4. 2nd. and 3d. Year. 5. Female. | Plant Vulgo, honey Locust. | Gleditschia triacanthos.",https://www.audubon.org/sites/default/files/boa_plates/plate-42-orchard-oriole.jpg,
43,Cedar Bird,"Male. 1. F. 2. | Plant Vulgo, Red Cedar. | Juniper Virginiana",https://www.audubon.org/sites/default/files/boa_plates/plate-43-cedar-bird.jpg,
44,Summer Red Bird,Male old 1. Young 2. F. 3. | Plant Vulgo Wild Muscadine. | Vitis rotundifolia.,https://www.audubon.org/sites/default/files/boa_plates/plate-44-summer-red-bird.jpg,
45,Traill's Flycatcher,"Plant Vulgo, Sweet Gum. | Liquidamber Styraciflua.",https://www.audubon.org/sites/default/files/boa_plates/plate-45-traills-flycatcher.jpg,
46,Barred Owl,"Male, adult. | Grey Squirrel. | Scurius Cinereus.",https://www.audubon.org/sites/default/files/boa_plates/plate-46-barred-owl.jpg,
47,Ruby-throated Humming Bird,"Male 1. F. 2. Young 3. | Plant, Bignania radicans | Vulgo, Trumpet Flower.",https://www.audubon.org/sites/default/files/boa_plates/plate-47-ruby-throated-humming-bird.jpg,
48,Azure Warbler,Male 1. F. 2. | Plant Vulgo. Bear-berry. | Ilex Dahon.,https://www.audubon.org/sites/default/files/boa_plates/plate-48-azure-warbler.jpg,
49,Blue-green Warbler,,https://www.audubon.org/sites/default/files/boa_plates/plate-49-blue-green-warbler.jpg,
50,Black & Yellow Warbler,"Male. | Tree, Vulgo. White Oak.",https://www.audubon.org/sites/default/files/boa_plates/plate-50-black-yellow-warbler.jpg,
51,Red-tailed Hawk,"Male, 1. Female, 2. | American Hare. Lepus americanus.",https://www.audubon.org/sites/default/files/boa_plates/plate-51-red-tailed-hawk.jpg,
52,Chuck-will's Widow,"Male, 1. Female, 2. | Harlequin Snake.",https://www.audubon.org/sites/default/files/boa_plates/plate-52-chuck-wills-widow.jpg,
53,Painted Finch,"1, 2, Old Males, 3, M. of 1st Year, 4, 2nd Year, 5, Female. | Chickasaw Plum. Prunus Chicasa.",https://www.audubon.org/sites/default/files/boa_plates/plate-53-painted-finch.jpg,
54,Rice Bird,"Male, 1. Female, 2. | Red Maple. Acer rubrum.",https://www.audubon.org/sites/default/files/boa_plates/plate-54-rice-bird.jpg,
55,Cuvier's Kinglet,,https://www.audubon.org/sites/default/files/boa_plates/plate-55-cuviers-kinglet.jpg,
56,Red-shouldered Hawk,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-56-red-shouldered-hawk.jpg,
57,Loggerhead Shrike,"Male, 1. Female, 2. | Green Briar or Round-leaved Smilax. Smilax rotundifolia.",https://www.audubon.org/sites/default/files/boa_plates/plate-57-loggerhead-shrike.jpg,
58,Hermit Thrush,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-58-hermit-thrush.jpg,
59,Chestnut-sided Warbler,"Male, 1. Female, 2. | Moth Mullein. Verbascum Blattaria.",https://www.audubon.org/sites/default/files/boa_plates/plate-59-chestnut-sided-warbler.jpg,
60,Carbonated Warbler,,https://www.audubon.org/sites/default/files/boa_plates/plate-60-carbonated-warbler.jpg,
61,Great Horned Owl,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-61-great-horned-owl.jpg,
62,Passenger Pigeon,"Male, 1. Female, 2.",https://www.audubon.org/sites/default/files/boa_plates/plate-62-passenger-pigeon.jpg,
63,"White-eyed Flycatcher, or Vireo","Male, | Pride of China or Bead-tree Melia Azedarach.",https://www.audubon.org/sites/default/files/boa_plates/plate-63-white-eyed-flycatcher.jpg,
64,Swamp Sparrow,Male. | May-apple. Podophyllum peltatum.,https://www.audubon.org/sites/default/files/boa_plates/plate-64-swamp-sparrow.jpg,
65,Rathbone Warbler,,https://www.audubon.org/sites/default/files/boa_plates/plate-65-rathbone-warbler.jpg,
66,Ivory-billed Woodpecker,"Male, 1. Female, 2, 3.",https://www.audubon.org/sites/default/files/boa_plates/plate-66-ivory-billed-woodpecker.jpg,
67,"Red winged Starling, or Marsh Blackbird","Adult Male, 1. Young Male, 2. Female Old, 3. Young, 4. | Red Maple, or Swamp Maple. Acer rubrum.",https://www.audubon.org/sites/default/files/boa_plates/plate-67-red-winged-starling.jpg,
68,"Republican, or Cliff Swallow","Male, 1. Female 2. Egg, 3. Nests 4.",https://www.audubon.org/sites/default/files/boa_plates/plate-68-republican-or-cliff-swallow.jpg,
69,Bay-breasted Warbler,"Male, 1. Female, 2. | Highland Cotton-plant. Gossypium herbaceum.",https://www.audubon.org/sites/default/files/boa_plates/plate-69-bay-breasted-warbler.jpg,
